"features"	"LV1"	"LV2"
1	-0.0246558566673955	-0.00533451358870271
10	-0.00127295281988906	-0.00039651555700081
100	-0.00295765021705029	-0.00311326517079152
1000	-0.00262960590165408	-0.0023113388010765
10000	-0.00287076615462862	0.0115500057326251
10001	-0.00261320469130532	0.0018990150714236
10002	-0.00261081550395292	-0.00605786963193023
10003	-0.00261081550395292	-0.00605786963193023
10004	-0.00304004252685425	-0.00881647093921141
10005	-0.00304004252685425	-0.00881647093921141
10006	-0.00277527882861148	-0.00416805001664358
10007	-0.00287076615462862	0.0115500057326251
10008	-0.00815614765839758	0.0150230747739274
10009	-0.00412445599115644	-0.00861898458408693
1001	-0.00190552811269067	-0.00168363143170055
10010	-0.00184676889842415	0.00102661012108895
10011	-0.00236769472951731	-0.00442404902272165
10012	-0.00336042019678953	-0.00268315479960857
10013	-0.0034945227016777	0.00221649589001709
10014	-0.00303855170754349	0.0018872274059189
10015	-0.00352678702584379	0.00241676256576879
10016	-0.00274460976923348	0.00198195391764453
10017	-0.00170039488811193	0.00526979811857916
10018	-0.00206882154349332	-0.0033621599997867
10019	-0.00261081550395292	-0.00605786963193023
1002	-0.0052739449445954	-0.00610910852117024
10020	-0.00261081550395292	-0.00605786963193023
10021	-0.00304004252685425	-0.00881647093921141
10022	-0.00304004252685425	-0.00881647093921141
10024	-0.00287076615462862	0.0115500057326251
10025	-0.0161136576679483	0.000691650622479031
10026	-0.00236769472951731	-0.00442404902272165
10027	-0.00731850169074946	-0.00940412092488358
10028	-0.00851374836474963	-0.00946825786729294
10029	-0.00304004252685425	-0.00881647093921141
1003	-0.00398232638724964	-0.00775551497017158
10030	-0.00196369201866434	-0.00468906143398121
10031	-0.00196369201866434	-0.00468906143398121
10032	-0.00196369201866434	-0.00468906143398121
10033	-0.00196369201866434	-0.00468906143398121
10034	-0.00196369201866434	-0.00468906143398121
10035	-0.00196369201866434	-0.00468906143398121
10036	-0.00196369201866434	-0.00468906143398121
10037	-0.00196369201866434	-0.00468906143398121
10038	-0.00196369201866434	-0.00468906143398121
10039	-0.00196369201866434	-0.00468906143398121
1004	-0.00543859796672542	0.00631366636255941
10040	-0.00211799369758572	-0.00288929996611254
10041	-0.00287076615462862	0.0115500057326251
10042	-0.00380847354950124	-0.00366193282153305
10043	-0.00268738040733722	-0.00233257591481161
10044	-0.00236769472951731	-0.00442404902272165
10045	-0.00236769472951731	-0.00442404902272165
10046	-0.00251382721279319	0.00177372589799226
10047	-0.00251382721279319	0.00177372589799226
10048	-0.00278339809061569	-0.00399443913413916
10049	-0.00128434228007395	-2.43779695072675e-05
1005	-0.00236769472951731	-0.00442404902272165
10050	-0.00170039488811193	0.00526979811857916
10051	-0.0044847484494895	-0.00665861497527773
10052	-0.00572442860714736	-0.00254181328944155
10053	-0.0018741700515188	-0.00237284881026771
10054	-0.0018741700515188	-0.00237284881026771
10055	-0.0018741700515188	-0.00237284881026771
10056	-0.0018741700515188	-0.00237284881026771
10057	-0.0018741700515188	-0.00237284881026771
10058	-0.0018741700515188	-0.00237284881026771
10059	-0.0018741700515188	-0.00237284881026771
1006	-0.00621619074538377	-0.00255916942181637
10060	-0.0018741700515188	-0.00237284881026771
10061	-0.0018741700515188	-0.00237284881026771
10062	-0.0018741700515188	-0.00237284881026771
10063	-0.0018741700515188	-0.00237284881026771
10064	-0.0018741700515188	-0.00237284881026771
10065	-0.0018741700515188	-0.00237284881026771
10066	-0.00556877512330687	-0.00254573755302217
10067	-0.0018741700515188	-0.00237284881026771
10068	-0.0018741700515188	-0.00237284881026771
10069	-0.00207983693863905	-0.00274425201734288
1007	-0.00339376718602187	-0.00354622758897716
10070	-0.00200799267436893	-0.00188289951870576
10071	-0.00203658802280227	-0.00267632757303691
10072	-0.00207095041320809	-0.00274053386525779
10073	-0.00204495012079365	-0.00269195219346853
10074	-0.00236769472951731	-0.00442404902272165
10075	-0.0043779295467911	0.00317336867174308
10076	-0.0018741700515188	-0.00237284881026771
10077	-0.000832008658759481	0.00189087149326029
10078	-0.00170039488811193	0.00526979811857916
10079	-0.00590626344677593	-0.0128096584850178
1008	-0.00450675653246331	-0.00857949571271382
10080	-0.00304004252685425	-0.00881647093921141
10081	-0.00304004252685425	-0.00881647093921141
10082	-0.00174612763136127	0.00165016934782031
10083	-0.00261081550395292	-0.00605786963193023
10084	-0.00161454011634999	-0.000606130297913547
10085	-0.00424458869598362	0.00494552512576955
10086	-0.0017450835602586	-0.000772000821918361
10087	-0.00219893918284937	-0.00227334020022501
10088	-0.00219893918284937	-0.00227334020022501
