"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"2108_351.14_2.7",2108,351.141705279247,2.6776438,NA
"2109_173.06_2.7",2109,173.060086749368,2.678025,"C11H10O3"
"211_212.11_0.6",211,212.113228966156,0.5825451,"C7H14O6"
"2110_208.19_2.7",2110,208.188171734629,2.6788263,NA
"2111_404.16_2.7",2111,404.155419396883,2.67881,"C17H27NO11"
"2112_147.04_2.7",2112,147.044263135095,2.6788967,"C9H8O3"
"2113_329.16_2.7",2113,329.157710505019,2.6809807,"C12H22N6O6"
"2114_528.24_2.7",2114,528.244166549843,2.681422,"C25H37NO11"
"2115_272.22_2.7",2115,272.222059746267,2.6847248,"C15H26O3"
"2116_503.08_2.7",2116,503.079690363184,2.6849382,"C21H20O13"
"2117_370.31_2.7",2117,370.310777709363,2.6850085,"C25H36O"
"2118_481.1_2.7",2118,481.097863517478,2.6850731,"C21H20O13"
"2119_457.04_2.7",2119,457.04021752655,2.6863322,"C21H14O13"
"2120_631.09_2.7",2120,631.092845747406,2.6863322,"C28H24O18"
"2121_344.13_2.7",2121,344.134494816915,2.6869762,"C15H18O8"
"2122_349.09_2.7",2122,349.089674997946,2.6869762,NA
"2123_235.08_2.7",2123,235.075517120641,2.687441,"C16H12O3"
"2124_263.07_2.7",2124,263.070512399161,2.687441,"C17H12O4"
"2125_265.09_2.7",2125,265.086154518576,2.687441,"C17H14O4"
"2126_295.1_2.7",2126,295.096705432596,2.687441,"C18H14O4"
"2127_312.12_2.7",2127,312.123053741944,2.687441,"C18H14O4"
"2128_319.05_2.7",2128,319.045073601087,2.6879354,"C15H10O8"
"2129_454.23_2.7",2129,454.234271339073,2.6881583,"C25H28N2O5"
"213_186.08_0.6",213,186.076232600974,0.5851636,"C8H8O4"
"2130_415.37_2.7",2130,415.368706223103,2.6882265,"C27H48N2O2"
"2131_563.21_2.7",2131,563.210128935553,2.6883266,"C26H36O12"
"2132_428.21_2.7",2132,428.207056485388,2.688417,"C24H26O6"
"2133_399.16_2.7",2133,399.162587299316,2.6895845,"C15H19N5O7"
"2134_533.2_2.7",2134,533.199390028004,2.6899397,"C25H34O11"
"2135_287.13_2.7",2135,287.125444064701,2.6920319,"C17H20O5"
"2136_317.07_2.7",2136,317.065829906954,2.692377,"C16H14O8"
"2137_165.05_2.7",2137,165.054877146539,2.6942506,"C9H10O4"
"2138_337.09_2.7",2138,337.089504269623,2.6978786,"C14H18O8"
"2139_151.04_2.7",2139,151.039157579035,2.6980956,"C8H8O4"
"2140_155.07_2.7",2140,155.070447722345,2.6987286,"C8H10O3"
"2141_179.07_2.7",2141,179.070535484346,2.6987886,"C10H12O4"
"2142_201.13_2.7",2142,201.127561468741,2.6999671,"C14H18O2"
"2143_211.11_2.7",2143,211.111924831457,2.6999671,"C15H16O2"
"2144_229.12_2.7",2144,229.122527040435,2.6999671,"C15H18O3"
"2145_310.2_2.7",2145,310.201368960007,2.6999671,"C17H24O4"
"2146_153.05_2.7",2146,153.054817852301,2.7002358,"C8H10O4"
"2147_225.08_2.7",2147,225.075811874484,2.7015252,"C11H12O5"
"2148_517.13_2.7",2148,517.134175777397,2.7020419,"C25H24O12"
"2149_427.12_2.7",2149,427.121253467163,2.7020528,"C17H24O11"
"215_321.12_0.6",215,321.11587192602,0.5904696,NA
"2150_403.37_2.7",2150,403.368118850322,2.7024796,"C26H48N2O2"
"2151_331.15_2.7",2151,331.154285827017,2.703739,"C19H22O5"
"2152_202.19_2.7",2152,202.187687056191,2.7051125,NA
"2153_865.2_2.7",2153,865.196491681393,2.705328,"C45H38O19"
"2154_330.28_2.7",2154,330.279424144678,2.705872,"C22H32O"
"2155_1155.28_2.7",2155,1155.27792619778,2.706559,NA
"2156_186.67_2.7",2156,186.667044304547,2.7068088,NA
"2157_386.34_2.7",2157,386.342134765937,2.7077384,"C26H40O"
"2158_372.33_2.7",2158,372.326342315831,2.707742,"C25H38O"
"2159_641.17_2.7",2159,641.171624830621,2.7082691,"C28H32O17"
"216_256.1_0.6",216,256.103001323453,0.596088,"C8H14O8"
"2160_181.05_2.7",2160,181.049783654001,2.7084823,"C9H10O5"
"2161_434.2_2.7",2161,434.202557670928,2.7092066,"C19H28O10"
