formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C21H22O5	[M + H]+	C21H23O5+	0.781	0.500	169.189	162.793	6.396	41	0.892	0.084	0.680	0.985		355.154	278	4.633	712792383729586495	712762629802446316	4978	
1	C18H20O3	[M - H2O + H]+	C18H19O2+	1.000	0.500	168.451	164.807	3.644	52	0.952	0.491	0.551	-67418.770		267.138	278	4.633	712792461450041116	712762629693394392	4973	
1	C29H38O13	[M + Na]+	C29H38NaO13+	0.979	0.971	37.215	33.678	3.538	13	0.817	1.202	1.202	1.439		617.221	278	4.633	712792528030423531	712762629844389364	4980	
1	C20H20O5	[M - H2O + H]+	C20H19O4+	0.846	0.500	183.527	179.759	3.767	52	0.942	0.149	0.485	-55736.661		323.128	278	4.633	712792569298181168	712762629760503268	4976	
1	C20H20O5	[M + H]+	C20H21O5+	0.671	0.500	173.843	170.097	3.746	49	0.923	0.505	0.628	1.582		341.139	278	4.633	712792575912598679	712762629781474792	4977	
1	C19H18O3	[M - H2O + H]+	C19H17O2+	1.000	0.500	129.737	126.006	3.731	48	0.894	0.587	0.790	-64989.764		277.123	278	4.633	712792603439816126	712762629714365916	4974	
1	C18H18O2	[M - H2O + H]+	C18H17O+	1.000	0.500	93.526	89.844	3.682	41	0.911	0.869	0.878	-72293.056		249.128	278	4.633	712792646435626808	712762629672422868	4972	
1	C19H20O4	[M - H2O + H]+	C19H19O3+	1.000	0.500	166.762	163.115	3.647	50	0.940	0.420	0.657	-61023.589		295.133	278	4.633	712792654144757673	712762629739531744	4975	
1	C30H34N4O9	[M + H3N + H]+	C30H38N5O9+	0.297	0.247	114.666	106.139	8.527	42	0.909	0.312	1.067	-1.624		612.265	278	4.633	712792799238317841	712762629823417840	4979	
1	C24H38O7	[M + H3N + H]+	C24H42NO7+	1.000	0.326	178.920	175.553	3.367	45	0.841	1.335	1.335	2.676		456.297	278	4.634	712792521340508586	712762629865360888	4981	
1	C37H37N3O12	[M + H]+	C37H38N3O12+	0.525	0.102	48.331	41.433	6.899	17	0.836	0.762	1.021	-7.400		716.240	278	4.634	712792546334366395	712762629886332412	4982	
1	C24H36O6	[M - H2O + H]+	C24H35O5+	1.000	0.500	191.134	187.691	3.443	54	0.961	0.902	0.916	-44661.967		403.249	278	4.635	712792579880410343	712762629907303936	4983	
1	C19H24O	[M + H]+	C19H25O+	1.000	0.500	124.092	120.796	3.296	42	0.930	2.122	2.122	2.891		269.191	278	4.637	712792456026805948	712762629928275460	4984	
1	C26H36O3	[M + H3N + H]+	C26H40NO3+	1.000	0.333	117.051	113.268	3.782	50	0.931	-0.691	1.437	0.747		414.301	278	4.637	712792354864385943	712762629949246984	4985	
1	C39H53NO13	[M + H]+	C39H54NO13+	0.993	0.333	54.300	54.300	0.000	24	0.847	0.059	1.210	-2.629		744.357	278	4.638	712792668849987597	712762629970218508	4986	
1	C22H22O8	[M - H2O + H]+	C22H21O7+	0.887	0.500	114.556	110.723	3.833	46	0.898	-0.242	0.573	-45351.333		397.128	278	4.638	712792503929952513	712762629991190032	4987	
1	C62H76O36	[M + Na]+	C62H76NaO36+	1.000	0.954	22.377	13.471	8.907	8	0.379	-0.781	1.761	0.620		1419.402	278	4.639	712792634230202096	712762630012161556	4988	
1	C35H54N2O5	[M - H2O + H]+	C35H53N2O4+	0.999	0.333	104.154	97.458	6.695	43	0.705	0.586	0.931	-31854.928		565.400	278	4.641	712792425798456352	712762630033133080	4989	
1	C21H22O10	[M + H]+	C21H23O10+	0.998	0.496	64.390	60.746	3.643	12	0.940	0.484	0.484	1.532		435.129	279	4.642	712792648474058599	712762630054104604	4990	
1	C19H30O9	[M + Na]+	C19H30NaO9+	0.993	0.993	40.500	34.158	6.342	7	0.743	-0.290	0.618	-0.172		425.178	279	4.643	712792436028364063	712762630096047652	4992	
1	C19H30O9	[M + H3N + H]+	C19H34NO9+	1.000	0.333	72.696	66.355	6.340	20	0.691	3.314	3.314	0.409		420.223	279	4.643	712792466239936386	712762630075076128	4991	
1	C17H16O9	[M - H2O + H]+	C17H15O8+	1.000	0.500	42.223	35.869	6.354	16	0.743	-0.353	0.500	-51891.542		347.076	279	4.644	712792415547577081	712762630117019176	4993	
1	C17H16O7	[M - H2O + H]+	C17H15O6+	0.995	0.500	89.979	86.218	3.761	12	0.950	0.563	0.870	-57159.775		315.087	279	4.645	712792411005145785	712762630158962224	4995	
1	C8H10O5	[M - H2O + H]+	C8H9O4+	1.000	0.500	111.662	108.442	3.220	14	0.789	5.100	5.100	-106538.755		169.050	279	4.645	712792467833771927	712762630137990700	4994	
1	C10H15NO2	[M - H2O + H]+	C10H14NO+	0.987	0.332	41.503	38.241	3.262	7	0.941	1.626	1.745	-109747.434		164.107	279	4.646	712792418282263395	712762630179933748	4996	
1	C43H61NO16	[M - H2O + H]+	C43H60NO15+	0.507	0.216	139.406	132.243	7.163	49	0.939	0.103	0.779	-21688.749		830.396	279	4.646	712792441246078350	712762630200905272	4997	
1	C9H13NO	[M - H2O + H]+	C9H12N+	1.000	0.302	11.183	11.183	0.000	2	0.164	1.739	1.739	-134308.780		134.097	279	4.647	712792404193596058	712762630263819844	5000	
1	C15H18O2	[M - H2O + H]+	C15H17O+	1.000	0.500	98.875	95.283	3.591	20	0.659	-0.266	0.804	-84504.989		213.128	279	4.648	712792487924488323	712762630221876796	4998	
1	C36H55NO6	[M + H3N + H]+	C36H59N2O6+	0.979	0.333	87.898	81.158	6.741	42	0.735	1.380	1.734	0.936		615.437	279	4.649	712792446258271700	712762630242848320	4999	
1	C37H51NO12	[M - H2O + H]+	C37H50NO11+	1.000	0.323	87.215	77.989	9.227	35	0.855	0.259	0.503	-26317.963		684.338	279	4.649	712792372501434469	712762630347705940	5004	
1	C37H53NO11	[M - H2O + H]+	C37H52NO10+	0.991	0.003	57.727	51.294	6.432	11	0.750	1.364	1.364	-26866.989		670.359	279	4.649	712792424917652472	712762630326734416	5003	
1	C25H34O2	[M + H3N + H]+	C25H38NO2+	1.000	0.333	111.163	107.312	3.850	45	0.828	0.164	0.414	1.312		384.290	279	4.649	712792425613906954	712762630284791368	5001	
1	C35H47NO10	[M - H2O + H]+	C35H46NO9+	1.000	0.299	145.810	145.810	0.000	53	0.960	0.309	0.742	-28847.517		624.317	279	4.649	712792556937567106	712762630305762892	5002	
1	C29H50N2O2	[M - H2O + H]+	C29H49N2O+	1.000	0.333	100.668	97.302	3.366	41	0.880	0.516	0.648	-40802.943		441.385	279	4.651	712792435239834900	712762630368677464	5005	
1	C15H24O2	[M + H]+	C15H25O2+	0.801	0.500	150.484	148.489	1.996	16	0.353	-6.432	6.432	-8.544		237.183	279	4.651	712792353916473216	712762630389648988	5006	
1	C17H26	[M + H3N + H]+	C17H30N+	0.999	0.333	73.915	70.247	3.667	13	0.352	4.058	4.058	2.472		248.238	279	4.651	712792469192726498	712762630410620512	5007	
1	C19H26O3	[M + H]+	C19H27O3+	1.000	0.500	147.063	147.063	0.000	43	0.900	2.258	2.258	3.690		303.197	279	4.653	712792446434432489	712762630431592036	5008	
1	C32H54N2O5	[M - H2O + H]+	C32H53N2O4+	0.525	0.333	131.687	128.128	3.559	44	0.704	0.917	0.964	-34019.237		529.401	279	4.656	712792483465943113	712762630456757864	5009	
1	C35H49NO10	[M - H2O + H]+	C35H48NO9+	1.000	0.237	42.878	36.813	6.065	21	0.906	1.188	2.275	-28755.962		626.332	279	4.657	712792439878735219	712762630477729388	5010	
1	C20H28O3	[M + H]+	C20H29O3+	1.000	0.500	162.278	156.346	5.932	46	0.911	0.457	0.504	1.730		317.212	280	4.662	712792420685599626	712762630498700912	5011	
1	C20H32O5	[M + Na]+	C20H32NaO5+	1.000	0.678	25.013	21.379	3.633	2	0.542	0.730	0.730	1.320		375.215	280	4.662	712792452927215237	712762630582587008	5015	
1	C24H31NO9	[M - H2O + H]+	C24H30NO8+	0.719	0.108	44.354	40.790	3.564	11	0.593	0.188	0.930	-39135.576		460.197	280	4.662	712792492391422126	712762630561615484	5014	
1	C20H27FO5S	[M + K]+	C20H27FKO5S+	0.363	0.678	48.527	48.527	0.000	10	0.407	1.516	1.516	4.115		437.121	280	4.662	712792534028278328	712762630540643960	5013	
1	C22H22O8	[M + H3N + H]+	C22H26NO8+	1.000	0.333	47.304	43.604	3.700	13	0.811	-0.243	0.323	1.381		432.166	280	4.662	712792573849001075	712762630519672436	5012	
1	C24H30O	[M + H3N + H]+	C24H34NO+	1.000	0.333	134.126	130.656	3.470	50	0.843	0.361	0.551	2.041		352.264	280	4.664	712792504701704466	712762630603558532	5016	
1	C33H41NO12	[M - H2O + H]+	C33H40NO11+	0.367	0.333	68.965	62.133	6.832	20	0.833	-0.266	1.064	-28758.168		626.260	280	4.667	712792468311922623	712762630624530056	5017	
1	C19H28O2	[M - H2O + H]+	C19H27O+	1.000	0.500	27.568	27.568	0.000	5	0.341	1.875	1.875	-66406.668		271.206	280	4.668	712792411516850897	712762630645501580	5018	
1	C39H55NO13	[M - H2O + H]+	C39H54NO12+	0.855	0.298	67.078	57.802	9.276	32	0.886	-0.172	1.059	-24727.284		728.364	280	4.669	712792375772991699	712762630666473104	5019	
1	C19H28O4	[M + H]+	C19H29O4+	1.000	0.500	186.416	182.659	3.756	51	0.944	0.232	0.622	1.321		321.206	280	4.670	712792548758674151	712762630687444628	5021	
1	C27H38O3	[M + H3N + H]+	C27H42NO3+	1.000	0.333	127.836	124.671	3.166	51	0.788	0.543	0.766	2.217		428.317	280	4.672	712792575291841668	712762630708416152	5022	
1	C31H55NO4S	[M + H3N + H]+	C31H59N2O4S+	0.991	0.333	71.788	67.796	3.992	38	0.594	1.108	1.456	-4.656		555.416	280	4.672	712792475949750270	712762630729387676	5023	
1	C37H51NO11	[M - H2O + H]+	C37H50NO10+	1.000	0.288	122.464	122.464	0.000	47	0.938	0.340	0.790	-26946.757		668.344	280	4.673	712792403006607996	712762630750359200	5024	
1	C15H20O4	[M + K]+	C15H20KO4+	1.000	0.999	75.569	75.569	0.000	18	0.712	1.643	1.643	1.659		303.100	280	4.674	712792333163056843	712762630897159868	5031	
1	C17H24O4	[M + H3N + H]+	C17H28NO4+	0.998	0.333	81.741	78.205	3.535	21	0.863	0.687	0.687	1.145		310.202	280	4.674	712792338003283672	712762630918131392	5032	
1	C15H20O4	[M + Na]+	C15H20NaO4+	1.000	1.000	73.342	69.622	3.720	17	0.373	0.681	0.681	1.324		287.126	280	4.674	712792400892678736	712762630876188344	5030	
1	C15H20O4	[M + H3N + H]+	C15H24NO4+	1.000	0.333	109.907	106.312	3.595	31	0.863	1.114	1.154	1.507		282.170	280	4.674	712792428843521122	712762630855216820	5029	
1	C14H16O	[M - H2O + H]+	C14H15+	1.000	0.500	75.806	75.806	0.000	14	0.654	1.438	1.438	-98353.358		183.117	280	4.674	712792432551285943	712762630771330724	5025	
1	C15H16O2	[M - H2O + H]+	C15H15O+	1.000	0.500	71.729	68.189	3.541	26	0.785	0.492	0.935	-85311.155		211.112	280	4.674	712792439505442138	712762630813273772	5027	
1	C15H20O4	[M - H2O + H]+	C15H19O3+	0.986	0.500	236.434	230.472	5.963	54	0.975	0.943	0.971	-72876.807		247.133	280	4.674	712792520816220560	712762630834245296	5028	
1	C14H18O2	[M - H2O + H]+	C14H17O+	1.000	0.500	141.871	138.389	3.483	43	0.909	1.388	1.388	-89546.103		201.128	280	4.674	712792552957172520	712762630792302248	5026	
1	C30H40O8	[M + Na]+	C30H40NaO8+	0.871	0.879	27.379	23.584	3.795	4	0.787	0.293	0.293	0.981		551.262	280	4.674	712792766363362479	712762630939102916	5033	
1	C25H40O2	[M + H3N + H]+	C25H44NO2+	1.000	0.333	179.643	173.130	6.513	36	0.596	0.371	0.528	0.138		390.337	280	4.675	712792685677535418	712762630960074440	5034	
1	C31H56O14	[M + H3N + H]+	C31H60NO14+	1.000	0.333	130.150	123.921	6.229	37	0.771	3.749	3.749	2.488		670.403	281	4.677	712792718783177314	712762631022989012	5037	
1	C21H38O5	[M + H]+	C21H39O5+	1.000	0.500	194.187	190.797	3.390	53	0.970	2.889	2.889	3.015		371.280	281	4.677	712792816812451962	712762630981045964	5035	
1	C21H42O7	[M - H2O + H]+	C21H41O6+	0.640	0.500	165.160	159.084	6.076	44	0.915	3.331	3.331	-46262.704		389.291	281	4.677	712792829521193299	712762631002017488	5036	
1	C33H56O15	[M - H2O + H]+	C33H55O14+	0.379	0.240	38.714	29.910	8.804	11	0.468	-1.459	3.357	-26670.494		675.357	281	4.678	712792722394473145	712762631064932060	5039	
1	C31H56O14	[M - H2O + H]+	C31H55O13+	1.000	0.500	183.579	175.049	8.530	45	0.935	3.409	3.409	-28345.301		635.365	281	4.678	712792840799676868	712762631043960536	5038	
1	C37H51NO6	[M + H3N + H]+	C37H55N2O6+	1.000	0.333	92.149	85.555	6.594	32	0.705	1.546	1.716	1.245		623.406	281	4.680	712792766560494786	712762631127846632	5042	
1	C32H49NO3	[M + H3N + H]+	C32H53N2O3+	0.990	0.333	83.122	79.731	3.391	37	0.769	1.306	1.306	1.870		513.406	281	4.680	712792877910878974	712762631106875108	5041	
1	C13H27NO	[M - H2O + H]+	C13H26N+	1.000	0.333	84.485	81.073	3.412	13	0.840	5.029	5.029	-91791.867		196.206	281	4.680	712792975147429374	712762631085903584	5040	
1	C27H42O3	[M + H3N + H]+	C27H46NO3+	1.000	0.333	86.609	80.093	6.516	41	0.898	0.455	0.841	1.617		432.348	281	4.680	712792686923243730	712762631148818156	5043	
1	C20H28O3	[M - H2O + H]+	C20H27O2+	1.000	0.500	139.176	135.703	3.473	48	0.929	0.411	0.621	-60193.558		299.201	281	4.683	712792919862307957	712762631169789680	5044	
1	C39H53NO13	[M - H2O + H]+	C39H52NO12+	1.000	0.326	187.023	187.023	0.000	54	0.972	0.121	0.575	-24794.972		726.349	281	4.684	712792829701548393	712762631190761204	5045	
1	C39H43N3O13	[M - H2O + H]+	C39H42N3O12+	1.000	0.121	40.756	37.356	3.400	15	0.718	0.400	0.958	-24205.615		744.271	281	4.685	712792696683389238	712762631215927032	5046	
1	C24H36O	[M + H3N + H]+	C24H40NO+	1.000	0.333	115.913	111.956	3.957	46	0.897	0.062	1.031	0.303		358.311	281	4.685	712792789503338069	712762631236898556	5047	
1	C35H45NO4	[M + H3N + H]+	C35H49N2O4+	1.000	0.333	110.815	102.171	8.643	25	0.471	0.305	0.768	-0.293		561.369	281	4.687	712792700353405289	712762631257870080	5048	
1	C24H36O2	[M + H3N + H]+	C24H40NO2+	1.000	0.333	115.095	108.759	6.336	46	0.810	-0.038	0.720	1.347		374.306	281	4.687	712792799557084970	712762631278841604	5049	
1	C38H51NO6	[M + H3N + H]+	C38H55N2O6+	1.000	0.332	76.815	76.815	0.000	46	0.876	1.595	1.800	1.725		635.407	281	4.688	712792998090272700	712762631299813128	5050	
1	C37H53NO10	[M - H2O + H]+	C37H52NO9+	1.000	0.238	57.423	50.677	6.746	29	0.866	0.042	0.882	-27522.605		654.364	281	4.688	712792983749947063	712762631320784652	5051	
1	C66H77N3O30	[M + Na]+	C66H77N3NaO30+	0.330	0.266	45.676	33.435	12.241	14	0.446	0.835	1.297	-1.653		1414.446	281	4.691	712792988137189107	712762631341756176	5052	
