"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
5702	"NA_[5702_228.2_5.3]"	21.9048330111068	-0.171870196322554	-0.0596669165126474
14392	"NA_[14392_537.53_11.7]"	20.3273732222506	-0.16349697308193	-0.0600212899364819
6976	"NA_[6976_395.36_6.5]"	19.9594711837133	-0.15887855240536	-0.0607551956135683
14390	"NA_[14390_282.28_11.7]"	19.4301250739596	-0.156819309468188	-0.056701831150873
13479	"NA_[13479_607.39_10.8]"	18.709445196481	-0.148040619655588	-0.0546189207639481
14116	"NA_[14116_565.57_11.4]"	18.390387130109	-0.150410904794344	-0.0445392296292062
13478	"NA_[13478_663.45_10.8]"	17.3361521898278	-0.137654758265367	-0.0456788773790667
13450	"NA_[13450_1342.93_10.8]"	16.7332926529076	-0.132669377220616	-0.0527858931426077
13475	"NA_[13475_551.33_10.8]"	16.632300830633	-0.132570618116464	-0.0505341401168609
9267	"NA_[9267_254.25_8.4]"	16.5890683188008	-0.130378444658798	-0.0635147532189587
89	"NA_[89_360.15_0.5]"	16.5403781975295	-0.140415026492996	-0.0111826072212369
13486	"NA_[13486_708.51_10.8]"	15.6460424897007	-0.121826126606747	-0.0578278522645817
14399	"NA_[14399_582.59_11.7]"	15.5679286214203	-0.124030933705035	-0.0568098590137233
6770	"NA_[6770_250.12_6.3]"	15.1128092808824	-0.119130218597389	-0.0613054853562082
13391	"NA_[13391_338.34_10.8]"	14.7853970572355	-0.121817059034602	-0.0373228580800222
13493	"NA_[13493_680.48_10.8]"	13.2519151698583	-0.107122022452864	-0.0290767657644083
14109	"NA_[14109_610.62_11.3]"	12.9954968689638	-0.105085766370252	-0.0489427836822863
13991	"NA_[13991_797.52_11.2]"	12.8495838055822	-0.111836575983958	-0.0353719523477041
13982	"NA_[13982_820.59_11.2]"	12.7441715471869	-0.109799756934841	-0.0447320326146674
13411	"NA_[13411_685.44_10.8]"	12.7135824431958	-0.102815064660689	-0.0412998157256811
14389	"NA_[14389_281.3_11.7]"	12.2564344220214	-0.102695468550515	-0.0373129884411051
246	"NA_[246_242.98_0.6]"	12.0929853287673	-0.105726400905161	0.00789181500469952
9730	"NA_[9730_280.26_8.7]"	11.9169754329964	-0.0940995133840492	-0.0469903929692053
5700	"NA_[5700_250.18_5.3]"	11.747597154816	-0.0913971784910781	-0.0613749970499481
14110	"NA_[14110_310.31_11.3]"	11.6579670392488	-0.0980997080111372	-0.026932247072647
13976	"NA_[13976_792.56_11.2]"	11.4553723324836	-0.10111273479489	-0.0273763249632329
13979	"NA_[13979_613.48_11.2]"	11.0698932946793	-0.0977634706248594	-0.0263776545152725
14113	"NA_[14113_282.28_11.4]"	11.0606776395615	-0.0929344089269371	-0.0259088226559456
471	"NA_[471_158.96_1]"	10.8385018917165	-0.0801090817562347	-0.0301012869064152
14096	"NA_[14096_393.34_11.3]"	10.7698857343418	-0.0851009061380049	-0.0342600189026005
13446	"NA_[13446_495.27_10.8]"	10.7592062176232	-0.0852465773536705	-0.0259103057316111
91	"NA_[91_127.04_0.5]"	10.6652986309159	-0.0936886641481574	-0.000681750985001656
14401	"NA_[14401_559.52_11.7]"	10.6151651832888	-0.0840828411279208	-0.0368113461916413
13977	"NA_[13977_335.26_11.2]"	10.2116084397499	-0.090599626873429	-0.0234818183312101
14100	"NA_[14100_394.35_11.3]"	10.1301904152671	-0.0814939923125542	-0.0330734040332426
13490	"NA_[13490_959.57_10.8]"	9.93056257543461	-0.0867008019696508	-0.0225925976978532
14432	"NA_[14432_506.53_11.7]"	9.8115053204236	-0.0793305426575008	-0.0160286166939867
13470	"NA_[13470_954.61_10.8]"	9.62051896987165	-0.0852572000325972	-0.0152982458221029
512	"NA_[512_158.96_1.1]"	9.19595238710503	-0.0777812235290327	-0.00586650193695754
5687	"N,N-dibutyl-2-[[2-(1,3-dioxo-2-isoindolyl)-1-oxoethyl]amino]benzamide_[5687_158.15_5.2]"	8.75141716701427	-0.0652444882261417	-0.0371568784480345
13473	"NA_[13473_613.48_10.8]"	8.56751722501349	-0.076362356602644	-0.0157581516465644
92	"NA_[92_145.05_0.5]"	8.56729380950959	-0.075147642950119	-0.0117555598494164
4	"NA_[4_151.04_0.4]"	8.37832601484036	-0.0709667597641212	-0.00367630041533876
10966	"NA_[10966_282.28_9.3]"	8.29537915027325	-0.06427161185464	-0.0336913651036303
10964	"NA_[10964_265.25_9.3]"	8.18652786033343	-0.0638765972712424	-0.0353513002510981
30	"itaconate(2-)_[30_148.06_0.4]"	7.90008546839988	-0.0672491124350827	-0.0207307144224395
13416	"NA_[13416_708.51_10.8]"	7.83711726977626	-0.0673468853655004	-0.0212008211308095
12250	"NA_[12250_284.3_10]"	7.63328977442786	-0.057606125394296	-0.0391262746421707
245	"NA_[245_215.02_0.6]"	7.49407487517505	-0.0667019921310279	0.00594280411528576
83	"NA_[83_381.08_0.4]"	7.30334002009669	-0.0645198573574577	-0.00537002783172366
14121	"NA_[14121_587.55_11.4]"	7.02840665212806	-0.0582080209838077	-0.0223100911575318
14380	"NA_[14380_799.53_11.7]"	6.95222046057096	-0.0603848337368669	-0.0226456446984071
10963	"NA_[10963_247.24_9.3]"	6.85458394558175	-0.0521359998852565	-0.0380563876027043
7713	"NA_[7713_280.26_7.1]"	6.81676664645918	-0.0545262355299979	-0.0229502688946979
14230	"NA_[14230_736.53_11.5]"	6.81025966606968	-0.0584381091207131	-0.0205796562380934
14021	"NA_[14021_663.45_11.3]"	6.68546219343277	-0.0603946315935516	-0.00648308436936437
