CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
13521	14241	-0.001	0.000	0.7856	0.5890	1
13521	14244	0.010	0.000	0.8181	0.5930	1
13522	13571	-1.995	0.000	0.7096	0.4477	1
13522	13610	15.993	0.000	0.7312	0.4211	1
13522	13689	-2.021	0.000	0.8689	0.5784	1
13522	13707	-1.998	0.000	0.8796	0.5784	1
13522	14212	96.003	0.000	0.7433	0.4209	1
13522	14242	-2.017	0.000	0.8797	0.5775	1
13522	14264	-1.998	0.000	0.8993	0.5784	1
13524	13544	-26.017	0.000	0.9079	0.7698	1
13524	13552	-72.059	0.000	0.8414	0.6787	1
13524	13729	-42.010	0.000	0.8370	0.8264	1
13524	13832	-14.054	0.000	0.8674	0.7079	1
13524	14008	-28.032	0.000	0.7062	0.6954	1
13524	14092	-28.032	0.000	0.9242	0.7969	1
13524	14291	-42.048	0.000	0.8419	0.6776	1
13524	14502	-56.063	0.000	0.8717	0.6913	1
13524	14503	-84.098	0.000	0.7197	0.5315	1
13524	14555	-56.064	0.000	0.9150	0.7944	1
13525	13545	-26.016	0.000	0.8013	0.5039	1
13525	13561	-72.057	0.000	0.7935	0.4992	1
13525	13810	-14.015	0.000	0.8232	0.5043	1
13525	14079	-28.031	0.000	0.7766	0.4713	1
13525	14148	-100.090	0.000	0.8166	0.5540	1
13525	14292	-42.047	0.000	0.7925	0.4787	1
13525	14402	-128.121	0.000	0.7883	0.4992	1
13525	14507	-56.064	0.000	0.8066	0.5043	1
13525	14556	-56.063	0.000	0.8136	0.5196	1
13526	13631	72.058	0.000	0.7222	0.5781	1
13526	14198	120.043	0.000	0.7664	0.5949	1
13526	14200	44.026	0.000	0.7397	0.5842	1
13527	13528	-12.000	0.000	0.7706	0.6362	1
13529	13703	-0.000	0.000	0.9578	0.8236	1
13529	14479	-0.000	0.000	0.8360	0.6169	1
13530	13834	15.995	0.000	0.7266	0.3865	1
13531	14072	15.995	0.000	0.7754	0.6295	1
13532	13536	282.256	0.000	0.7028	0.6516	1
13532	13537	-53.048	0.000	0.7497	0.6204	1
13532	13556	-81.079	0.000	0.7482	0.6376	1
13532	13575	416.368	0.000	0.7067	0.5422	1
13532	13879	212.167	0.000	0.7136	0.6225	1
13533	13721	-0.021	0.000	0.9196	0.7182	1
13533	13724	0.000	0.000	0.8929	0.6888	1
13535	13550	-28.032	0.000	0.7256	0.4993	1
13536	13575	134.111	0.000	0.7090	0.5584	1
13536	13584	134.104	0.000	0.7155	0.5614	1
13536	13587	134.110	0.000	0.7157	0.5610	1
13536	13604	136.127	0.000	0.7310	0.5911	1
13536	13620	136.119	0.000	0.7099	0.5682	1
13536	13754	136.126	0.000	0.7379	0.5719	1
13536	13787	136.119	0.000	0.7148	0.5682	1
13536	13879	-70.090	0.000	0.7038	0.6425	1
13536	14028	-15.994	0.000	0.7272	0.7168	1
13536	14127	136.120	0.000	0.7115	0.5720	1
13536	14195	136.126	0.000	0.7063	0.5734	1
13536	14315	136.126	0.000	0.7146	0.5834	1
13536	14351	54.084	0.000	0.7151	0.6078	1
13537	13556	-28.031	0.000	0.7903	0.6686	1
