CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
10401	10976	0.001	0.000	0.9179	0.7549	1
10401	13350	15.999	0.000	0.8288	0.6459	1
10402	10421	2.009	0.000	0.7090	0.4814	1
10402	10435	2.015	0.000	0.7472	0.4935	1
10402	10475	35.998	0.000	0.7146	0.3604	1
10402	11248	31.989	0.000	0.7659	0.4545	1
10402	11310	18.011	0.000	0.7291	0.5168	1
10402	11610	18.011	0.000	0.7051	0.3735	1
10402	11682	17.990	0.000	0.7214	0.4665	1
10402	11909	17.990	0.000	0.7961	0.5273	1
10402	12105	20.023	0.000	0.7156	0.5137	1
10402	12183	18.009	0.000	0.7339	0.4697	1
10402	12276	17.990	0.000	0.7394	0.5013	1
10402	12328	18.008	0.000	0.7309	0.4833	1
10402	12559	18.009	0.000	0.7768	0.4824	1
10402	12560	17.989	0.000	0.7822	0.5328	1
10402	13009	18.009	0.000	0.7138	0.4541	1
10402	13312	18.006	0.000	0.7591	0.5113	1
10402	13316	17.989	0.000	0.7526	0.4357	1
10402	13357	34.004	0.000	0.7077	0.4717	1
10403	10446	0.002	0.000	0.8273	0.7863	1
10403	10519	2.007	0.000	0.8064	0.7592	1
10403	10527	2.016	0.000	0.7905	0.7357	1
10403	10547	2.018	0.000	0.7935	0.7426	1
10403	10996	2.008	0.000	0.7379	0.6841	1
10403	11005	2.015	0.000	0.7549	0.6673	1
10403	11018	2.018	0.000	0.7394	0.6781	1
10403	11200	2.016	0.000	0.7028	0.6608	1
10403	11598	0.002	0.000	0.8656	0.8069	1
10403	11602	0.000	0.000	0.7969	0.6882	1
10403	11605	-0.007	0.000	0.8232	0.7333	1
10403	11834	2.017	0.000	0.7624	0.6946	1
10403	13337	-134.107	0.000	0.7231	0.6779	1
10403	13838	-134.106	0.000	0.7153	0.6546	1
10404	10449	2.016	0.000	0.7304	0.7006	1
10404	10468	-2.016	0.000	0.7550	0.6629	1
10404	10594	-302.227	0.000	0.7461	0.5389	1
10404	10635	-2.020	0.000	0.7512	0.6604	1
10404	10678	-2.017	0.000	0.7570	0.6707	1
10404	10753	-2.022	0.000	0.7970	0.7313	1
10404	10759	-0.001	0.000	0.9609	0.9014	1
10404	10899	0.000	0.000	0.9465	0.9355	1
10404	10911	-2.016	0.000	0.7220	0.7240	1
10404	10940	-0.006	0.000	0.7433	0.7290	1
10404	10969	-2.022	0.000	0.7206	0.6629	1
10404	10975	-0.001	0.000	0.7322	0.7412	1
10404	11007	0.000	0.000	0.7917	0.7831	1
10404	11009	-2.015	0.000	0.7265	0.6585	1
10404	11295	-0.001	0.000	0.8373	0.8148	1
10404	11452	-2.023	0.000	0.7696	0.6711	1
10404	11554	-0.005	0.000	0.8931	0.8269	1
10404	11565	-0.000	0.000	0.8632	0.8363	1
10404	11629	38.015	0.000	0.8044	0.6578	1
10404	11678	-0.000	0.000	0.8023	0.6923	1
10404	11702	-15.995	0.000	0.7426	0.7045	1
10404	11956	-0.008	0.000	0.7187	0.7313	1
10404	11959	-0.001	0.000	0.9480	0.8817	1
10404	12033	0.000	0.000	0.9565	0.8934	1
10404	12055	-0.006	0.000	0.7928	0.8045	1
10404	12067	-2.022	0.000	0.7186	0.7301	1
10404	12090	-2.022	0.000	0.7734	0.6793	1
10404	12180	-0.001	0.000	0.8065	0.7991	1
10404	12234	0.000	0.000	0.7123	0.7217	1
10404	12279	-2.016	0.000	0.7888	0.7168	1
10404	12417	-18.011	0.000	0.7854	0.6453	1
10404	12422	-2.017	0.000	0.7581	0.6712	1
10404	12454	-0.008	0.000	0.7009	0.7295	1
10404	12459	-2.023	0.000	0.7402	0.6465	1
10404	12474	-2.022	0.000	0.7611	0.6750	1
10404	12478	-2.015	0.000	0.7935	0.7107	1
10404	12522	-0.002	0.000	0.8765	0.8196	1
10404	12528	0.000	0.000	0.9797	0.9325	1
10404	12708	-2.023	0.000	0.7552	0.6724	1
10404	12807	-0.001	0.000	0.9420	0.8630	1
10404	12833	-0.006	0.000	0.7379	0.7412	1
