CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
12482	12497	123.090	0.000	0.7977	0.5569	1
12482	12498	28.031	0.000	0.8748	0.6672	1
12482	12908	-42.011	0.000	0.7190	0.5901	1
12482	12982	123.089	0.000	0.8032	0.5458	1
12482	12985	-0.000	0.000	0.8728	0.7227	1
12482	13145	123.090	0.000	0.7537	0.5644	1
12482	13147	-13.979	0.000	0.7864	0.6654	1
12482	13150	-42.010	0.000	0.7266	0.5697	1
12483	12810	-42.011	0.000	0.7951	0.5823	1
12484	12717	44.026	0.000	0.7425	0.4309	1
12484	12771	18.010	0.000	0.7645	0.4931	1
12484	12799	-42.011	0.000	0.7049	0.4934	1
12484	12987	-28.031	0.000	0.7343	0.4616	1
12484	13540	15.995	0.000	0.7446	0.4597	1
12485	12577	-86.037	0.000	0.7852	0.5352	1
12485	12717	74.036	0.000	0.8095	0.5779	1
12485	12771	48.020	0.000	0.7880	0.5463	1
12485	12799	-12.001	0.000	0.7325	0.4360	1
12485	12851	-38.016	0.000	0.7337	0.4355	1
12485	12923	48.020	0.000	0.7120	0.4444	1
12485	12987	1.979	0.000	0.7218	0.4584	1
12485	13540	46.006	0.000	0.8024	0.5255	1
12485	13566	-40.031	0.000	0.7472	0.5017	1
12486	12505	0.932	0.000	0.8139	0.4958	1
12486	12696	0.930	0.000	0.7855	0.3937	1
12486	12714	2.942	0.000	0.7774	0.3937	1
12486	12726	0.927	0.000	0.7804	0.4058	1
12486	12746	0.936	0.000	0.7824	0.3868	1
12486	12758	-25.084	0.000	0.7900	0.4134	1
12486	12767	-23.069	0.000	0.7534	0.3709	1
12486	12824	-13.088	0.000	0.7766	0.4134	1
12486	13220	-25.084	0.000	0.7899	0.4134	1
12486	13222	0.931	0.000	0.7887	0.4102	1
12486	13449	0.932	0.000	0.7807	0.4134	1
12486	13586	-19.036	0.000	0.7857	0.4134	1
12486	13918	-19.036	0.000	0.7847	0.3937	1
12486	13996	-19.037	0.000	0.7777	0.4100	1
12486	14042	-19.039	0.000	0.7882	0.4349	1
12486	14119	-21.050	0.000	0.7900	0.4134	1
12486	14233	-19.037	0.000	0.7833	0.4134	1
12486	14236	-21.052	0.000	0.7811	0.3937	1
12486	14326	-21.055	0.000	0.7818	0.3907	1
12486	14465	-21.053	0.000	0.7872	0.4099	1
12486	14466	-19.038	0.000	0.7824	0.3937	1
12487	12535	-26.016	0.000	0.7697	0.5521	1
12487	12611	2.016	0.000	0.7216	0.4789	1
12487	12870	-26.016	0.000	0.7413	0.4784	1
12487	13128	18.011	0.000	0.7241	0.4982	1
12487	13140	-42.010	0.000	0.8179	0.5981	1
12487	13151	-68.026	0.000	0.7632	0.4870	1
12487	13342	-42.062	0.000	0.7280	0.4408	1
12487	13899	-70.042	0.000	0.8076	0.6377	1
12488	12491	0.004	0.000	0.7419	0.5150	1
12488	12972	-2.016	0.000	0.7373	0.5299	1
12488	13183	44.030	0.000	0.7028	0.4645	1
12488	13460	42.015	0.000	0.7251	0.5080	1
12488	13464	41.998	0.000	0.7259	0.5378	1
12488	13547	7.937	0.000	0.7226	0.4962	1
12488	13680	16.000	0.000	0.7788	0.5848	1
12488	13682	15.982	0.000	0.7535	0.5779	1
12488	13734	27.999	0.000	0.7445	0.5392	1
12488	13931	39.999	0.000	0.7444	0.5163	1
12488	14136	-12.049	0.000	0.7733	0.5735	1
12488	14139	-12.031	0.000	0.7928	0.6259	1
12488	14340	37.984	0.000	0.7581	0.5798	1
12488	14369	11.951	0.000	0.7135	0.5143	1
12488	14380	11.969	0.000	0.7618	0.5614	1
12488	14381	11.947	0.000	0.7539	0.5595	1
12488	14443	-14.048	0.000	0.7496	0.5562	1
12488	14489	11.945	0.000	0.7037	0.4662	1
12488	14499	11.950	0.000	0.7845	0.6189	1
12488	14505	11.966	0.000	0.7047	0.5214	1
12488	14519	-14.048	0.000	0.7221	0.5544	1
12489	12952	0.000	0.000	0.7142	0.6651	1
12489	13286	162.069	0.000	0.7046	0.5960	1
12489	13942	-0.010	0.000	0.8305	0.7646	1
