CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1	341	0.000	0.000	0.9492	0.8879	1
1	653	0.000	0.000	0.9670	0.9480	1
1	745	0.000	0.000	0.9740	0.9480	1
2	341	0.000	0.000	0.9480	0.8363	1
4	7	-31.950	0.000	0.7451	0.6822	1
4	194	0.958	0.000	0.8436	0.7279	1
4	199	-1.021	0.000	0.7502	0.6950	1
4	273	-23.041	0.000	0.7840	0.8135	1
4	546	-3.955	0.000	0.7736	0.6204	1
4	773	-20.958	0.000	0.8126	0.6234	1
4	934	-31.950	0.000	0.7698	0.7064	1
4	1088	-31.950	0.000	0.7700	0.6983	1
4	1366	-31.950	0.000	0.7475	0.6467	1
4	1661	-31.950	0.000	0.7273	0.6628	1
4	1975	-31.950	0.000	0.7529	0.6602	1
4	2853	-31.950	0.000	0.7646	0.7040	1
4	8996	-31.950	0.000	0.7035	0.5902	1
7	176	0.956	0.000	0.8103	0.6678	1
7	214	41.027	0.000	0.8114	0.6415	1
7	643	-0.000	0.000	0.9215	0.7642	1
7	934	0.000	0.000	0.9885	0.9447	1
7	1088	0.000	0.000	0.9701	0.8776	1
7	1366	0.000	0.000	0.9425	0.8602	1
7	1661	0.000	0.000	0.9622	0.8763	1
7	1975	0.000	0.000	0.9781	0.9321	1
7	1981	0.794	0.000	0.9085	0.7426	1
7	2853	0.000	0.000	0.9695	0.8955	1
7	3800	-0.093	0.000	0.8266	0.7399	1
7	8996	0.000	0.000	0.7313	0.6597	1
9	68	-42.010	0.000	0.9139	0.8295	1
9	108	1.998	0.000	0.7235	0.5195	1
10	53	-0.984	0.000	0.7572	0.8117	1
10	7130	-136.198	0.000	0.7231	0.5492	1
10	7372	-150.213	0.000	0.7311	0.5038	1
11	12	1.003	0.000	0.7161	0.7398	1
11	125	2.035	0.000	0.7925	0.7555	1
11	129	-115.008	0.000	0.7252	0.4533	1
11	239	1.973	0.000	0.7269	0.5783	1
11	260	-97.982	0.000	0.7534	0.5713	1
11	453	12.048	0.000	0.7105	0.6058	1
12	31	-0.984	0.000	0.9992	1.0000	1
12	33	16.043	0.000	0.9225	0.7848	1
12	35	-1.987	0.000	0.9306	0.8458	1
12	239	0.970	0.000	0.7215	0.7071	1
14	94	-11.988	0.000	0.7541	0.6798	1
14	269	-44.962	0.000	0.7889	0.5481	1
14	273	-17.999	0.000	0.8957	0.8275	1
14	318	-8.978	0.000	0.8061	0.7092	1
14	335	-11.988	0.000	0.7529	0.6857	1
14	618	-11.988	0.000	0.7761	0.6908	1
14	695	-4.056	0.000	0.9251	0.6594	1
14	2423	2.950	0.000	0.7349	0.6762	1
14	2459	-11.030	0.000	0.7617	0.7498	1
14	2718	2.950	0.000	0.7616	0.7260	1
14	3919	-67.056	0.000	0.7604	0.5030	1
14	5473	-159.119	0.000	0.7020	0.3562	1
14	7888	-161.135	0.000	0.7297	0.3676	1
14	8111	-61.046	0.000	0.8394	0.5202	1
14	8304	-65.077	0.000	0.8112	0.5592	1
14	8305	-91.092	0.000	0.8383	0.5053	1
14	9715	-91.092	0.000	0.8612	0.5635	1
14	11629	-105.109	0.000	0.7440	0.4125	1
14	12417	-161.135	0.000	0.7050	0.3125	1
15	62	-14.016	0.000	0.9220	0.7681	1
20	237	-20.008	0.000	0.7561	0.7596	1
24	1220	-16.958	0.000	0.7080	0.6389	1
26	59	74.046	0.000	0.8617	0.5507	1
26	7322	-260.215	0.000	0.8298	0.6916	1
26	7896	-264.196	0.000	0.7194	0.5103	1
26	7956	-262.227	0.000	0.8055	0.6378	1
26	7957	-262.230	0.000	0.8093	0.6744	1
26	8432	-238.227	0.000	0.8190	0.6544	1
26	8438	-238.230	0.000	0.8079	0.5998	1
26	8442	-238.232	0.000	0.8167	0.6638	1
26	8689	-264.246	0.000	0.8292	0.7348	1
26	8692	-264.242	0.000	0.8273	0.7194	1
26	8795	-252.245	0.000	0.8107	0.6825	1
26	9736	-266.262	0.000	0.8148	0.6742	1
26	9738	-266.260	0.000	0.8068	0.5950	1
26	9743	-266.264	0.000	0.8093	0.6562	1
27	71	-27.011	0.000	0.9490	0.8603	1
27	284	-11.027	0.000	0.7219	0.7204	1
27	313	-34.021	0.000	0.8910	0.7472	1
27	455	-62.016	0.000	0.8463	0.7291	1
27	467	-18.026	0.000	0.8686	0.7869	1
27	698	-92.026	0.000	0.7279	0.7127	1
27	729	-57.037	0.000	0.7760	0.6349	1
27	1594	-45.984	0.000	0.7072	0.8171	1
28	104	18.011	0.000	0.8057	0.6686	1
31	33	17.027	0.000	0.9224	0.7990	1
31	35	-1.003	0.000	0.9339	0.8434	1
32	102	0.000	0.000	0.7049	0.6524	1
33	35	-18.030	0.000	0.9724	0.9098	1
33	94	-8.989	0.000	0.7074	0.6734	1
33	335	-8.989	0.000	0.7114	0.6740	1
33	453	-4.998	0.000	0.8525	0.7202	1
33	802	0.995	0.000	0.8986	0.7820	1
35	121	17.046	0.000	0.7239	0.7580	1
36	81	-271.150	0.000	0.7437	0.4670	1
38	78	162.053	0.000	0.9254	0.6845	1
39	40	-18.011	0.000	0.8838	0.7960	1
41	367	7.079	0.000	0.8008	0.4859	1
41	370	-17.006	0.000	0.8041	0.4591	1
41	452	7.076	0.000	0.7266	0.3827	1
41	500	-1.958	0.000	0.8889	0.5648	1
41	1127	7.078	0.000	0.8088	0.4676	1
41	1565	-2.942	0.000	0.8152	0.4934	1
41	1775	-2.942	0.000	0.8033	0.4903	1
41	1927	-142.954	0.000	0.8565	0.5097	1
41	1965	-2.942	0.000	0.7856	0.4729	1
41	2042	7.078	0.000	0.8118	0.4743	1
41	2062	-2.942	0.000	0.8231	0.5172	1
41	2202	-2.942	0.000	0.7804	0.4674	1
41	2610	-2.942	0.000	0.7659	0.4845	1
41	2833	-2.942	0.000	0.7818	0.4882	1
41	3033	-9.025	0.000	0.7240	0.4598	1
41	3567	-126.995	0.000	0.7211	0.3453	1
44	45	-12.000	0.000	0.8115	0.7738	1
44	46	-30.010	0.000	0.7232	0.6493	1
44	311	-36.000	0.000	0.7154	0.6013	1
44	681	-36.000	0.000	0.7099	0.6013	1
44	1175	-88.053	0.000	0.7081	0.6987	1
44	1535	1.943	0.000	0.7642	0.7069	1
44	3691	-12.000	0.000	0.7185	0.7233	1
44	6786	-32.026	0.000	0.7601	0.8124	1
44	8136	-32.026	0.000	0.7444	0.7233	1
44	8999	-32.026	0.000	0.7397	0.7233	1
44	9364	-32.025	0.000	0.7324	0.7233	1
44	9760	-74.036	0.000	0.7006	0.6478	1
44	9805	-32.026	0.000	0.7368	0.7233	1
44	10333	-32.025	0.000	0.7588	0.7233	1
44	10586	-32.026	0.000	0.7282	0.7233	1
44	10622	-278.100	0.000	0.7049	0.5481	1
44	10892	-32.026	0.000	0.7417	0.7233	1
44	11316	-74.037	0.000	0.7013	0.6426	1
44	11383	-32.026	0.000	0.7390	0.7233	1
44	12199	-32.026	0.000	0.7609	0.7233	1
45	46	-18.011	0.000	0.7938	0.7393	1
45	1250	30.011	0.000	0.7117	0.5798	1
45	1751	30.011	0.000	0.7753	0.6387	1
45	1809	-38.089	0.000	0.7051	0.6452	1
45	1872	1.943	0.000	0.8111	0.7881	1
45	2423	15.922	0.000	0.7511	0.7089	1
45	2721	16.031	0.000	0.7544	0.7234	1
45	4579	-50.125	0.000	0.7512	0.6551	1
45	4767	-50.125	0.000	0.7625	0.6623	1
45	5804	-62.089	0.000	0.7663	0.6148	1
45	6003	-38.125	0.000	0.7058	0.6604	1
45	7099	-88.198	0.000	0.7206	0.6223	1
45	7256	-88.198	0.000	0.7202	0.6330	1
45	8908	-90.119	0.000	0.7595	0.5755	1
45	9283	-38.125	0.000	0.7462	0.7089	1
45	9288	-38.124	0.000	0.7471	0.7089	1
45	13058	-250.377	0.000	0.7085	0.5089	1
46	47	-36.021	0.000	0.9055	0.8461	1
46	4110	-18.011	0.000	0.7592	0.6741	1
46	8157	-50.160	0.000	0.7047	0.6240	1
46	11359	-66.157	0.000	0.7042	0.6234	1
46	12295	-234.274	0.000	0.7107	0.5385	1
47	48	-17.026	0.000	0.9020	0.8733	1
47	49	-35.037	0.000	0.8130	0.7675	1
47	53	39.995	0.000	0.7107	0.6351	1
47	699	-65.989	0.000	0.7185	0.6459	1
47	822	-65.990	0.000	0.7131	0.6459	1
47	1099	-65.990	0.000	0.7071	0.6459	1
47	1229	-126.105	0.000	0.7261	0.7191	1
47	4110	18.010	0.000	0.7201	0.5685	1
47	7089	-212.069	0.000	0.7273	0.6240	1
47	10622	-212.068	0.000	0.7161	0.6529	1
48	49	-18.011	0.000	0.8915	0.8095	1
48	51	-180.064	0.000	0.7326	0.6236	1
48	57	42.010	0.000	0.7475	0.6269	1
48	9220	-6.973	0.000	0.7143	0.5949	1
49	51	-162.053	0.000	0.8961	0.7743	1
50	100	-2.015	0.000	0.7291	0.5213	1
51	1145	72.006	0.000	0.7152	0.6232	1
51	1155	-42.063	0.000	0.7018	0.5963	1
52	77	1.003	0.000	0.9720	0.8587	1
52	80	-14.992	0.000	0.8913	0.7010	1
52	183	-85.943	0.000	0.7597	0.5130	1
53	55	18.011	0.000	0.9238	0.8303	1
53	96	-9.984	0.000	0.7738	0.6876	1
53	10333	-5.989	0.000	0.8163	0.6643	1
53	10891	12.021	0.000	0.7215	0.7388	1
53	10986	-5.991	0.000	0.8362	0.6673	1
53	11298	-5.991	0.000	0.8482	0.7240	1
53	12199	-5.989	0.000	0.7019	0.7240	1
53	12209	-5.991	0.000	0.8388	0.6673	1
55	10333	-23.999	0.000	0.8199	0.6919	1
55	10891	-5.989	0.000	0.7149	0.7078	1
55	10986	-24.001	0.000	0.8153	0.6999	1
55	11298	-24.001	0.000	0.8296	0.7711	1
55	12199	-24.000	0.000	0.7495	0.7711	1
55	12209	-24.001	0.000	0.8189	0.6999	1
56	8085	-65.052	0.000	0.7384	0.6172	1
56	8302	-65.052	0.000	0.7355	0.6291	1
57	73	18.011	0.000	0.8433	0.7662	1
57	87	-144.042	0.000	0.8509	0.5761	1
57	89	-162.053	0.000	0.8597	0.6132	1
57	90	-127.016	0.000	0.9529	0.7868	1
57	93	-145.027	0.000	0.8674	0.6211	1
57	95	-324.106	0.000	0.8250	0.6415	1
57	110	-132.042	0.000	0.7297	0.6407	1
57	113	-486.159	0.000	0.7440	0.4581	1
57	134	-648.211	0.000	0.7092	0.4103	1
57	211	-14.016	0.000	0.9406	0.8159	1
57	221	-486.158	0.000	0.7426	0.4676	1
57	222	-648.211	0.000	0.7266	0.4730	1
57	280	-58.042	0.000	0.9391	0.7931	1
57	292	-58.909	0.000	0.9388	0.7717	1
57	372	-92.026	0.000	0.8776	0.6659	1
57	376	18.011	0.000	0.8933	0.8524	1
57	493	-72.058	0.000	0.9358	0.8591	1
57	494	-55.031	0.000	0.9360	0.9234	1
57	640	-84.057	0.000	0.8982	0.7483	1
57	1022	-172.074	0.000	0.7175	0.5342	1
57	1047	-120.058	0.000	0.7064	0.4780	1
57	1056	-134.037	0.000	0.8470	0.6381	1
57	1084	-134.073	0.000	0.7019	0.4622	1
57	1337	-266.079	0.000	0.8717	0.5879	1
57	1341	-200.105	0.000	0.7225	0.4540	1
57	1533	-277.095	0.000	0.8804	0.6209	1
57	1849	-282.111	0.000	0.8239	0.5878	1
57	2071	-115.042	0.000	0.7971	0.5721	1
57	2161	-236.105	0.000	0.7275	0.5058	1
57	2915	-216.136	0.000	0.7440	0.5272	1
57	3258	-248.105	0.000	0.7110	0.4880	1
57	3477	23.037	0.000	0.7049	0.4634	1
57	3631	-230.152	0.000	0.7437	0.5705	1
57	3785	-230.152	0.000	0.7477	0.5711	1
57	3935	23.037	0.000	0.7173	0.5021	1
57	4110	-6.973	0.000	0.7150	0.7162	1
57	4511	-244.167	0.000	0.7524	0.5561	1
57	4958	-86.000	0.000	0.7520	0.5922	1
58	63	18.030	0.000	0.9530	0.9292	1
58	121	0.019	0.000	0.9072	0.9644	1
58	273	-13.997	0.000	0.9180	0.8192	1
59	9636	-202.264	0.000	0.7412	0.4486	1
59	11040	-230.302	0.000	0.7267	0.4300	1
59	11041	-230.296	0.000	0.7261	0.4119	1
59	12305	-258.328	0.000	0.7410	0.4318	1
60	118	-0.000	0.000	0.7884	0.6953	1
60	359	-48.000	0.000	0.7549	0.3659	1
60	420	-48.001	0.000	0.7109	0.3479	1
60	730	54.032	0.000	0.8290	0.5381	1
