CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1044	1045	-18.011	0.000	0.8668	0.5581	1
1044	1343	-14.974	0.000	0.7225	0.4651	1
1045	4478	0.968	0.000	0.7988	0.4847	1
1046	1127	-10.042	0.000	0.8367	0.4802	1
1046	1130	7.968	0.000	0.7375	0.5402	1
1046	1133	-192.063	0.000	0.9229	0.5638	1
1046	1197	-162.053	0.000	0.9404	0.6349	1
1046	1208	-10.078	0.000	0.8547	0.5108	1
1046	1436	0.000	0.000	0.9862	0.7910	1
1046	1437	-156.042	0.000	0.8360	0.4317	1
1046	1509	-170.021	0.000	0.9067	0.5426	1
1046	1510	-314.064	0.000	0.8251	0.4535	1
1046	1574	-154.064	0.000	0.7283	0.3114	1
1046	1648	-144.043	0.000	0.9502	0.6581	1
1046	1668	-0.000	0.000	0.9876	0.7961	1
1046	1676	-326.064	0.000	0.7772	0.3878	1
1046	1681	-162.053	0.000	0.9314	0.5892	1
1046	1690	-361.102	0.000	0.7495	0.3632	1
1046	1705	-152.011	0.000	0.9249	0.7108	1
1046	1819	-314.064	0.000	0.8856	0.4825	1
1046	2042	-10.042	0.000	0.8605	0.5503	1
1046	2119	-152.011	0.000	0.9208	0.7214	1
1046	2206	-464.059	0.000	0.7701	0.4083	1
1046	2310	-308.053	0.000	0.8974	0.5825	1
1046	2327	-343.090	0.000	0.7650	0.3289	1
1046	2378	-314.064	0.000	0.8776	0.4909	1
1046	2422	-144.043	0.000	0.9516	0.6243	1
1046	2572	-480.054	0.000	0.8722	0.5022	1
1046	2574	-266.126	0.000	0.7178	0.2556	1
1046	2592	-667.102	0.000	0.7248	0.3317	1
1046	2707	-466.075	0.000	0.9112	0.5947	1
1046	2708	-653.122	0.000	0.8026	0.4382	1
1046	2773	-667.102	0.000	0.7141	0.3245	1
1046	2969	-466.075	0.000	0.8199	0.3901	1
1046	3080	-618.085	0.000	0.8903	0.5548	1
1046	3101	-805.134	0.000	0.7654	0.3565	1
1046	3188	-166.027	0.000	0.8126	0.5755	1
1046	3329	-58.078	0.000	0.8327	0.5369	1
1046	3384	-166.026	0.000	0.8824	0.6907	1
1046	3398	-770.098	0.000	0.8626	0.4857	1
1046	3639	-922.108	0.000	0.8480	0.4208	1
1046	3715	-150.031	0.000	0.7524	0.6000	1
1046	3741	-318.037	0.000	0.8463	0.4647	1
1046	3865	-150.031	0.000	0.8979	0.6215	1
1046	3908	-1261.170	0.000	0.7280	0.3168	1
1046	6897	-264.115	0.000	0.7190	0.3729	1
1047	1056	-13.979	0.000	0.8488	0.6875	1
1047	1084	-14.015	0.000	0.8860	0.8300	1
1047	1145	-30.011	0.000	0.8577	0.8293	1
1047	1297	-14.016	0.000	0.7288	0.6887	1
1047	1499	-14.016	0.000	0.8774	0.8074	1
1047	1533	-157.037	0.000	0.7057	0.5991	1
1047	1558	-28.031	0.000	0.7236	0.6748	1
1049	1183	288.065	0.000	0.7108	0.5948	1
1049	1213	15.995	0.000	0.7102	0.5732	1
1049	1302	304.060	0.000	0.7407	0.5756	1
1049	1352	15.995	0.000	0.7278	0.5780	1
1049	1526	304.060	0.000	0.7457	0.6108	1
1049	1527	15.995	0.000	0.7132	0.5922	1
1049	1529	424.116	0.000	0.7614	0.6835	1
1049	1587	304.060	0.000	0.7533	0.6439	1
1049	1625	288.065	0.000	0.7265	0.5721	1
1049	1794	15.995	0.000	0.7411	0.6129	1
1049	1812	304.060	0.000	0.7610	0.6006	1
1049	1855	-272.069	0.000	0.7982	0.6718	1
1049	1972	15.995	0.000	0.7049	0.5388	1
1049	2072	-272.068	0.000	0.7921	0.6327	1
1049	2077	304.060	0.000	0.7665	0.5875	1
1049	2155	15.995	0.000	0.7399	0.5896	1
1049	2170	-560.133	0.000	0.7589	0.5306	1
1049	2220	304.059	0.000	0.7408	0.6189	1
1049	2485	304.060	0.000	0.7247	0.6101	1
1051	1052	-18.011	0.000	0.8908	0.6793	1
1051	1153	11.964	0.000	0.7183	0.5273	1
1055	1221	-0.000	0.000	0.7257	0.5181	1
1056	1084	-0.036	0.000	0.8041	0.7186	1
1056	1145	-16.031	0.000	0.8040	0.7008	1
1056	1337	-132.042	0.000	0.7969	0.6092	1
1056	1499	-0.036	0.000	0.7924	0.6708	1
1056	1533	-143.058	0.000	0.8701	0.7358	1
1056	1558	-14.052	0.000	0.7051	0.6801	1
1056	1849	-148.074	0.000	0.7831	0.6790	1
1056	1857	-150.126	0.000	0.7088	0.5005	1
1056	2071	18.995	0.000	0.7653	0.6680	1
1056	4958	48.036	0.000	0.7066	0.6329	1
1057	1080	-62.037	0.000	0.7163	0.5469	1
1057	2228	-32.063	0.000	0.8106	0.5791	1
1057	2977	-34.078	0.000	0.7040	0.3783	1
1057	3137	-45.118	0.000	0.7344	0.5164	1
1057	11561	91.936	0.000	0.7986	0.5919	1
1060	1183	272.070	0.000	0.7102	0.6340	1
1060	1213	0.000	0.000	0.8490	0.7370	1
1060	1254	290.080	0.000	0.7159	0.5621	1
1060	1291	-286.048	0.000	0.7027	0.6536	1
1060	1302	288.065	0.000	0.7740	0.6091	1
1060	1352	0.001	0.000	0.8044	0.6514	1
1060	1431	-286.045	0.000	0.7071	0.5676	1
1060	1526	288.065	0.000	0.7949	0.6539	1
1060	1527	0.000	0.000	0.8644	0.7449	1
1060	1529	408.121	0.000	0.7252	0.6512	1
1060	1587	288.065	0.000	0.7912	0.7124	1
1060	1625	272.071	0.000	0.7297	0.5944	1
1060	1794	-0.000	0.000	0.8528	0.7235	1
1060	1812	288.065	0.000	0.7816	0.6344	1
1060	1855	-288.064	0.000	0.8274	0.7278	1
1060	1972	0.001	0.000	0.7591	0.6069	1
1060	2072	-288.063	0.000	0.8058	0.6613	1
1060	2077	288.065	0.000	0.8017	0.6428	1
1060	2155	0.000	0.000	0.8043	0.6566	1
1060	2170	-576.128	0.000	0.8263	0.6037	1
1060	2220	288.065	0.000	0.7669	0.6675	1
1060	2485	288.065	0.000	0.7490	0.6607	1
1062	1158	-0.001	0.000	0.8386	0.6986	1
1062	1264	-0.000	0.000	0.8106	0.5967	1
1062	1632	-152.013	0.000	0.7591	0.5618	1
1063	1092	-30.010	0.000	0.7693	0.4825	1
1063	1387	2.017	0.000	0.8660	0.7115	1
1063	1984	3.996	0.000	0.7484	0.4380	1
1063	2017	-44.025	0.000	0.7881	0.6239	1
1063	2311	-164.083	0.000	0.7031	0.5740	1
1063	2699	27.959	0.000	0.8245	0.6580	1
1063	2897	-176.047	0.000	0.7549	0.4250	1
1063	2996	-150.067	0.000	0.9029	0.6171	1
1063	3122	25.944	0.000	0.8275	0.6888	1
1063	3409	-82.041	0.000	0.7600	0.5470	1
1063	4091	80.012	0.000	0.7156	0.5604	1
1063	4240	-13.993	0.000	0.7099	0.4133	1
1064	3300	-14.016	0.000	0.8475	0.7197	1
1065	1291	-288.065	0.000	0.7555	0.6329	1
1065	1431	-288.063	0.000	0.7779	0.6123	1
1065	1526	286.048	0.000	0.7095	0.6354	1
1065	1587	286.048	0.000	0.7150	0.6566	1
1065	1961	0.000	0.000	0.7217	0.5255	1
1065	2153	288.064	0.000	0.7340	0.6676	1
1065	2303	288.064	0.000	0.7133	0.5973	1
1066	1442	3.995	0.000	0.7282	0.6429	1
1067	1124	0.000	0.000	0.9460	0.7724	1
1067	1148	30.010	0.000	0.9032	0.6151	1
1067	1152	-30.011	0.000	0.9299	0.7059	1
1067	1283	30.011	0.000	0.9356	0.7196	1
1067	1370	162.053	0.000	0.9548	0.7658	1
1067	1573	-22.021	0.000	0.7042	0.3370	1
1067	1665	30.011	0.000	0.9613	0.7430	1
1067	1781	162.053	0.000	0.9462	0.7094	1
1067	2026	-22.021	0.000	0.7171	0.4117	1
1067	3263	-4.010	0.000	0.7334	0.4835	1
1067	3277	-4.934	0.000	0.7316	0.4780	1
1067	4292	11.970	0.000	0.7703	0.4511	1
1073	2518	0.000	0.000	0.7274	0.4539	1
1074	1077	162.053	0.000	0.8590	0.7141	1
1074	1180	162.053	0.000	0.8572	0.7490	1
1074	1295	162.053	0.000	0.8810	0.7626	1
1074	1503	162.053	0.000	0.8577	0.7279	1
1074	1529	-5.955	0.000	0.8141	0.7047	1
1074	1625	-142.005	0.000	0.7143	0.5591	1
1074	1794	-414.076	0.000	0.7131	0.5992	1
1074	1812	-126.011	0.000	0.7331	0.5641	1
1074	1955	162.053	0.000	0.7215	0.6849	1
1074	2025	162.053	0.000	0.8225	0.7195	1
1074	2077	-126.011	0.000	0.7657	0.5953	1
1074	2220	-126.011	0.000	0.7827	0.6509	1
1074	2485	-126.011	0.000	0.8128	0.6836	1
1074	2555	162.053	0.000	0.7925	0.7137	1
1074	2651	46.005	0.000	0.7011	0.6683	1
1074	2952	31.989	0.000	0.8065	0.6192	1
1077	1115	-15.995	0.000	0.8062	0.6985	1
1077	1180	-0.000	0.000	0.9504	0.8634	1
1077	1194	2.015	0.000	0.7287	0.6366	1
1077	1295	-0.000	0.000	0.9463	0.8618	1
1077	1302	-288.064	0.000	0.7026	0.4957	1
1077	1492	2.015	0.000	0.7677	0.6395	1
1077	1503	0.000	0.000	0.9402	0.8677	1
1077	1526	-288.064	0.000	0.7060	0.5361	1
1077	1529	-168.008	0.000	0.8181	0.6592	1
1077	1571	15.994	0.000	0.7331	0.6906	1
1077	1587	-288.064	0.000	0.7158	0.5611	1
1077	1625	-304.058	0.000	0.7075	0.4944	1
1077	1759	-0.000	0.000	0.7475	0.7277	1
1077	1812	-288.064	0.000	0.7123	0.4983	1
1077	1955	-0.000	0.000	0.7778	0.7249	1
1077	2025	-0.000	0.000	0.9007	0.8241	1
1077	2077	-288.064	0.000	0.7627	0.5448	1
1077	2220	-288.064	0.000	0.7938	0.6168	1
1077	2303	-286.047	0.000	0.7334	0.5284	1
1077	2485	-288.064	0.000	0.8124	0.6280	1
1077	2555	0.000	0.000	0.8730	0.7804	1
1079	1198	34.042	0.000	0.7066	0.5722	1
1079	1230	9.948	0.000	0.7437	0.7229	1
1079	1321	67.990	0.000	0.7792	0.5978	1
1079	1361	-13.979	0.000	0.8020	0.7648	1
1079	1685	-12.037	0.000	0.8122	0.7072	1
1079	1805	-2.052	0.000	0.8312	0.7509	1
1079	2192	18.010	0.000	0.7226	0.5004	1
1079	2361	27.958	0.000	0.8309	0.7081	1
1079	2680	45.969	0.000	0.7017	0.5713	1
1079	2828	13.979	0.000	0.8380	0.6918	1
1079	2903	-50.053	0.000	0.7602	0.6266	1
1079	3073	13.943	0.000	0.8202	0.7528	1
1079	3228	13.943	0.000	0.8147	0.7463	1
1079	3240	-68.063	0.000	0.7513	0.5988	1
1079	3351	-158.037	0.000	0.7149	0.5821	1
1079	3409	-66.047	0.000	0.7049	0.6550	1
1079	3431	-54.047	0.000	0.7890	0.7001	1
1079	3438	25.943	0.000	0.8276	0.7403	1
1079	3994	-118.115	0.000	0.7067	0.5612	1
1079	4272	-10.058	0.000	0.8652	0.7145	1
1079	4324	-148.183	0.000	0.7535	0.5611	1
1082	1120	2.016	0.000	0.7136	0.6001	1
1082	1153	15.995	0.000	0.7447	0.4898	1
1082	1303	-30.011	0.000	0.8942	0.7353	1
1082	1343	42.058	0.000	0.7477	0.4188	1
1082	1448	15.995	0.000	0.7355	0.4286	1
1082	2061	-15.936	0.000	0.7618	0.4593	1
1082	3279	-15.936	0.000	0.7006	0.3573	1
1082	4251	32.085	0.000	0.7781	0.4173	1
1082	4749	16.054	0.000	0.7396	0.3946	1
1082	5218	0.059	0.000	0.7446	0.3972	1
1082	6284	-145.973	0.000	0.7642	0.4450	1
1082	6295	-145.978	0.000	0.7580	0.4783	1
1082	7102	-196.030	0.000	0.7101	0.3017	1
1083	1277	0.000	0.000	0.9827	0.9191	1
1083	1404	-0.000	0.000	0.9914	0.9077	1
1083	1564	0.000	0.000	0.9694	0.8008	1
1083	1656	10.021	0.000	0.9089	0.8934	1
1083	1701	0.000	0.000	0.9895	0.8906	1
1083	1863	-31.990	0.000	0.9267	0.7215	1
1083	1908	-153.990	0.000	0.7034	0.3490	1
1083	1940	-82.042	0.000	0.8288	0.5423	1
1083	1964	0.000	0.000	0.9912	0.9040	1
1083	1999	-66.047	0.000	0.7231	0.4670	1
1083	2059	0.000	0.000	0.9937	0.9183	1
1083	2236	-0.000	0.000	0.9937	0.9193	1
1083	2343	-31.990	0.000	0.9282	0.7158	1
1083	2446	-153.990	0.000	0.7335	0.3817	1
1083	2459	-4.068	0.000	0.7360	0.7229	1
1083	2480	0.000	0.000	0.9827	0.8434	1
1083	2584	-110.000	0.000	0.7602	0.4678	1
1083	2601	-70.078	0.000	0.8068	0.4920	1
1083	2701	0.000	0.000	0.9874	0.8828	1
1083	2836	-0.000	0.000	0.9895	0.9054	1
1083	2893	-110.000	0.000	0.7980	0.4760	1
1083	2896	-82.042	0.000	0.8351	0.5475	1
1083	3088	0.000	0.000	0.9933	0.9188	1
1083	3155	-26.016	0.000	0.9077	0.6927	1
1083	3237	-66.083	0.000	0.7437	0.4192	1
1083	3301	-0.000	0.000	0.9927	0.9149	1
1083	3306	10.021	0.000	0.8996	0.8177	1
1083	3526	10.021	0.000	0.8733	0.7714	1
1083	3672	0.000	0.000	0.9912	0.9062	1
