"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
5702	"NA_[5702_228.2_5.3]"	21.922920450008	-0.171335368526986	-0.00662713547020574
14392	"NA_[14392_537.53_11.7]"	20.3718081528815	-0.162638218057239	-0.0483460834854471
6976	"NA_[6976_395.36_6.5]"	20.0123993497329	-0.1581720327814	-0.0276112109355262
14390	"NA_[14390_282.28_11.7]"	19.4891609632356	-0.156000301509123	-0.0474006408600461
13479	"NA_[13479_607.39_10.8]"	18.5738054197774	-0.147167292225459	-0.0322356144825962
14116	"NA_[14116_565.57_11.4]"	18.4923420905006	-0.149713798621446	-0.0427262942158603
13478	"NA_[13478_663.45_10.8]"	17.26683023183	-0.136906365288231	-0.0278371825305686
89	"NA_[89_360.15_0.5]"	16.9467954277947	-0.140329655300809	-0.000579879936343496
13450	"NA_[13450_1342.93_10.8]"	16.6513122032446	-0.131854346869407	-0.0370053784807291
9267	"NA_[9267_254.25_8.4]"	16.5557832947083	-0.129686991478176	-0.0281710224949316
13475	"NA_[13475_551.33_10.8]"	16.5328082782263	-0.131748234538854	-0.0285316168773484
14399	"NA_[14399_582.59_11.7]"	15.5813991711429	-0.123334070502014	-0.0367388193481939
13486	"NA_[13486_708.51_10.8]"	15.4565622831212	-0.120980323677926	-0.0284021587821035
6770	"NA_[6770_250.12_6.3]"	15.1568585367885	-0.118615024263907	-0.0241671217940293
13391	"NA_[13391_338.34_10.8]"	14.9462513389342	-0.121315718071866	-0.0317340097645088
13493	"NA_[13493_680.48_10.8]"	13.2709766614463	-0.106611202380701	-0.0195241289521608
13991	"NA_[13991_797.52_11.2]"	13.1869020347673	-0.111428263491648	-0.05063758155848
14109	"NA_[14109_610.62_11.3]"	13.1222627303289	-0.104552533659443	-0.0339694466760509
13982	"NA_[13982_820.59_11.2]"	13.0572085615059	-0.109405779652718	-0.0523497988004251
13411	"NA_[13411_685.44_10.8]"	12.7869806084051	-0.102229880837032	-0.0406610672387319
246	"NA_[246_242.98_0.6]"	12.45256641914	-0.105769334115957	0.0132367150250572
14389	"NA_[14389_281.3_11.7]"	12.3983024107417	-0.102166237559761	-0.0368437435020482
9730	"NA_[9730_280.26_8.7]"	11.8935665069261	-0.093616829542198	-0.0209864390716459
14110	"NA_[14110_310.31_11.3]"	11.8214675462629	-0.0976740467547024	-0.0313553633217023
13976	"NA_[13976_792.56_11.2]"	11.8061426107407	-0.100860495020555	-0.0540213733394888
5700	"NA_[5700_250.18_5.3]"	11.726172308531	-0.0909696340521197	-0.034580967890404
13979	"NA_[13979_613.48_11.2]"	11.4140394044792	-0.0975251789746292	-0.0530984634046232
14113	"NA_[14113_282.28_11.4]"	11.2087908163276	-0.0925063667718363	-0.0318511770478745
91	"NA_[91_127.04_0.5]"	11.0394538548681	-0.0937909596893682	0.00319884490449123
14096	"NA_[14096_393.34_11.3]"	10.7987593627158	-0.0846410364327866	-0.0158713835918438
13446	"NA_[13446_495.27_10.8]"	10.6925015492863	-0.0846931896723511	-0.0140742468095102
14401	"NA_[14401_559.52_11.7]"	10.5842571163965	-0.0835805739115323	-0.0265586287084842
13977	"NA_[13977_335.26_11.2]"	10.5514409403703	-0.0904267271006641	-0.0501381847964837
471	"NA_[471_158.96_1]"	10.5135171623338	-0.0796125089244696	-0.0183368007642231
13490	"NA_[13490_959.57_10.8]"	10.1628562524815	-0.0864120846333988	-0.0361844538057194
14100	"NA_[14100_394.35_11.3]"	10.1526005520081	-0.0810413002405885	-0.0256470057965063
13470	"NA_[13470_954.61_10.8]"	9.91227827477986	-0.0850833262466454	-0.0411411352802968
14432	"NA_[14432_506.53_11.7]"	9.79406383144764	-0.0789058217302175	-0.0199603887486688
512	"NA_[512_158.96_1.1]"	9.46738475765553	-0.0777556422146837	0.0165638945880531
92	"NA_[92_145.05_0.5]"	8.88616699637076	-0.0752074430085067	-0.00750937467587118
13473	"NA_[13473_613.48_10.8]"	8.84768429318396	-0.0762334074633002	-0.0418323232790157
5687	"N,N-dibutyl-2-[[2-(1,3-dioxo-2-isoindolyl)-1-oxoethyl]amino]benzamide_[5687_158.15_5.2]"	8.66523128716718	-0.0649782274681819	-0.00647841226818709
4	"NA_[4_151.04_0.4]"	8.56775163775799	-0.0710296811700077	0.0162642364244176
10966	"NA_[10966_282.28_9.3]"	8.17320159128481	-0.0637882405757752	-0.0254689822117638
30	"itaconate(2-)_[30_148.06_0.4]"	8.16607837417402	-0.0672148877464644	-0.00731661527041103
13416	"NA_[13416_708.51_10.8]"	8.15617349544824	-0.0672774200498308	-0.0418404379093573
10964	"NA_[10964_265.25_9.3]"	8.11101428175574	-0.0634178258403088	-0.0270432824513714
245	"NA_[245_215.02_0.6]"	7.75967653434082	-0.0667997139974926	0.0105431066556268
83	"NA_[83_381.08_0.4]"	7.55547193513123	-0.0645036343640974	-0.00504522724506147
12250	"NA_[12250_284.3_10]"	7.47784717672186	-0.0571223051811062	-0.0283941821293542
14380	"NA_[14380_799.53_11.7]"	7.07513544266997	-0.0601120159211697	-0.0343797349423145
14121	"NA_[14121_587.55_11.4]"	7.06243865956333	-0.0578236319585246	-0.0235762788540348
14230	"NA_[14230_736.53_11.5]"	6.9473698131555	-0.0581991708222631	-0.0264901211714589
14021	"NA_[14021_663.45_11.3]"	6.92208404646579	-0.0603284347563713	-0.0392945351783494
7713	"NA_[7713_280.26_7.1]"	6.87568228047357	-0.054239670665064	-0.015065927654249
10963	"NA_[10963_247.24_9.3]"	6.78845071660522	-0.0518324869343855	-0.0048058504469669
