CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
3121	3522	15.995	0.000	0.8994	0.5168	1
3122	3989	-114.032	0.000	0.7174	0.5472	1
3122	4072	-114.032	0.000	0.7006	0.5054	1
3122	4091	54.068	0.000	0.7294	0.5427	1
3122	4207	-114.032	0.000	0.7512	0.6012	1
3122	4336	-114.032	0.000	0.7192	0.5553	1
3122	4447	-114.031	0.000	0.7638	0.6187	1
3122	4491	-114.032	0.000	0.7143	0.5932	1
3122	4774	-67.990	0.000	0.7931	0.6707	1
3122	4872	-67.990	0.000	0.7841	0.6747	1
3122	4991	-67.990	0.000	0.7889	0.7017	1
3123	3473	179.079	0.000	0.7411	0.4569	1
3123	3541	30.011	0.000	0.8033	0.6845	1
3123	3554	-432.178	0.000	0.7118	0.5321	1
3123	3653	15.995	0.000	0.8119	0.5752	1
3123	4666	1.979	0.000	0.7345	0.6261	1
3124	3185	1.008	0.000	0.7013	0.5934	1
3124	3193	-0.990	0.000	0.8487	0.7520	1
3124	3476	-1.005	0.000	0.8865	0.7962	1
3124	3555	-8.016	0.000	0.7011	0.5737	1
3124	3581	-292.173	0.000	0.7175	0.5387	1
3124	3801	-8.016	0.000	0.7097	0.5527	1
3124	3877	-83.105	0.000	0.7325	0.4151	1
3125	3315	50.053	0.000	0.7162	0.6705	1
3125	3420	-45.057	0.000	0.7700	0.6960	1
3125	3444	0.000	0.000	0.9313	0.8393	1
3125	3474	-18.011	0.000	0.7601	0.6755	1
3125	3574	-31.042	0.000	0.7578	0.6734	1
3125	3661	-0.000	0.000	0.9707	0.9090	1
3125	3662	-18.011	0.000	0.7738	0.6861	1
3125	3775	14.053	0.000	0.7892	0.6608	1
3125	3851	-0.000	0.000	0.9418	0.8680	1
3125	3852	-18.011	0.000	0.7247	0.6567	1
3125	3940	-13.979	0.000	0.7960	0.6981	1
3125	4141	-11.963	0.000	0.8158	0.7920	1
3125	4277	40.032	0.000	0.8661	0.7532	1
3125	4280	0.037	0.000	0.7683	0.7669	1
3125	4284	-15.994	0.000	0.8276	0.8426	1
3125	4553	0.037	0.000	0.7468	0.6689	1
3125	4554	-17.974	0.000	0.7199	0.6563	1
3125	4577	40.032	0.000	0.9087	0.7532	1
3125	4578	0.001	0.000	0.9390	0.8777	1
3125	4626	-31.990	0.000	0.7020	0.6258	1
3125	4794	0.037	0.000	0.7818	0.7541	1
3125	4861	-31.990	0.000	0.7113	0.6276	1
3125	5026	0.037	0.000	0.7780	0.7684	1
3125	5080	-2.015	0.000	0.8963	0.8585	1
3125	5115	26.016	0.000	0.8534	0.6919	1
3125	5122	28.032	0.000	0.7422	0.6373	1
3125	5124	14.016	0.000	0.8532	0.7061	1
3125	5125	12.001	0.000	0.8868	0.7654	1
3125	5188	-2.015	0.000	0.9279	0.9021	1
3125	5192	-15.994	0.000	0.7350	0.7313	1
3125	5230	-66.047	0.000	0.7132	0.5046	1
3125	5242	-64.031	0.000	0.7669	0.6237	1
3125	5271	-2.015	0.000	0.8663	0.8104	1
3125	5341	-13.979	0.000	0.7668	0.7511	1
3125	5414	0.001	0.000	0.8662	0.7954	1
3125	5490	-2.015	0.000	0.8421	0.7540	1
3125	5558	-66.047	0.000	0.7910	0.5877	1
3125	5630	-52.031	0.000	0.7527	0.6255	1
3125	5643	-39.994	0.000	0.7936	0.7633	1
3125	5652	-15.994	0.000	0.7860	0.7062	1
3125	5690	-2.015	0.000	0.8813	0.8138	1
3125	5712	-80.026	0.000	0.7264	0.5938	1
3125	5733	-18.010	0.000	0.8833	0.8038	1
3125	5784	-4.031	0.000	0.7397	0.7461	1
3125	5829	-52.031	0.000	0.7279	0.5303	1
3125	5857	-64.031	0.000	0.7591	0.6974	1
3125	5945	-66.047	0.000	0.7199	0.5420	1
3125	5957	40.068	0.000	0.8910	0.7524	1
3125	5960	16.032	0.000	0.7204	0.6705	1
3125	5963	10.058	0.000	0.7298	0.6254	1
3125	5980	-2.015	0.000	0.8726	0.8123	1
3125	5982	-11.963	0.000	0.7528	0.6762	1
3125	6046	-66.047	0.000	0.7141	0.5860	1
3125	6059	-64.031	0.000	0.7725	0.6887	1
3125	6094	-2.015	0.000	0.8705	0.8159	1
3125	6107	-15.994	0.000	0.7115	0.7197	1
3125	6134	-64.031	0.000	0.7442	0.6780	1
3125	6161	-13.979	0.000	0.7265	0.6928	1
3125	6183	-15.994	0.000	0.7144	0.6866	1
3125	6188	-26.015	0.000	0.8712	0.7566	1
3125	6209	0.001	0.000	0.9221	0.8395	1
3125	6244	38.016	0.000	0.8077	0.6938	1
3125	6253	-68.062	0.000	0.7082	0.5647	1
3125	6256	-1.979	0.000	0.7387	0.7180	1
3125	6270	2.016	0.000	0.8525	0.7739	1
3125	6271	-15.994	0.000	0.7269	0.7363	1
3125	6275	-64.031	0.000	0.7678	0.6485	1
3125	6349	-24.000	0.000	0.8007	0.7812	1
3125	6385	38.016	0.000	0.7995	0.7544	1
3125	6387	-68.062	0.000	0.7474	0.5998	1
3125	6398	2.016	0.000	0.8203	0.7103	1
3125	6400	0.001	0.000	0.8131	0.8078	1
3125	6424	-52.031	0.000	0.7098	0.5391	1
3125	6431	0.001	0.000	0.8249	0.8078	1
3125	6437	-64.031	0.000	0.7736	0.6833	1
3125	6458	-14.015	0.000	0.9001	0.8518	1
3125	6488	2.016	0.000	0.8188	0.7045	1
3125	6494	-68.062	0.000	0.7569	0.6095	1
3125	6526	-64.034	0.000	0.7270	0.6489	1
3125	6535	-64.031	0.000	0.7646	0.6963	1
3125	6542	40.032	0.000	0.8537	0.6951	1
3125	6543	38.016	0.000	0.8823	0.7544	1
3125	6544	26.016	0.000	0.8417	0.6705	1
3125	6545	12.001	0.000	0.8970	0.8275	1
3125	6546	-2.015	0.000	0.8797	0.8492	1
3125	6547	-14.015	0.000	0.8975	0.8287	1
3125	6548	-70.078	0.000	0.7016	0.5931	1
3125	6572	0.073	0.000	0.7837	0.7032	1
3125	6582	0.037	0.000	0.7355	0.6778	1
3125	6612	-68.062	0.000	0.7350	0.6016	1
3125	6624	-64.033	0.000	0.7456	0.6415	1
3125	6633	16.034	0.000	0.7191	0.6089	1
3125	6646	16.032	0.000	0.7476	0.7224	1
3125	6668	-1.979	0.000	0.7081	0.6383	1
3125	6672	0.000	0.000	0.8148	0.7750	1
3125	6676	12.000	0.000	0.9050	0.7987	1
3125	6717	-82.042	0.000	0.7021	0.4916	1
3125	6718	-52.031	0.000	0.7619	0.6066	1
3125	6728	-64.035	0.000	0.7558	0.6547	1
3125	6743	40.030	0.000	0.8527	0.6951	1
3125	6763	-54.050	0.000	0.7050	0.5691	1
3125	6767	0.001	0.000	0.9368	0.8893	1
3125	6802	9.982	0.000	0.8470	0.7820	1
3125	6842	16.032	0.000	0.7201	0.6608	1
3125	6857	-29.977	0.000	0.7782	0.7777	1
3125	6873	-64.031	0.000	0.7533	0.6917	1
3125	6874	-64.034	0.000	0.7238	0.6438	1
3125	6918	-52.034	0.000	0.7091	0.5737	1
3125	6951	40.068	0.000	0.8091	0.6520	1
