CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
11441	11467	-54.048	0.000	0.7837	0.6633	1
11441	11475	-12.000	0.000	0.9285	0.8599	1
11441	11480	-54.052	0.000	0.7767	0.6366	1
11441	11486	-54.047	0.000	0.7961	0.6689	1
11441	11533	-26.016	0.000	0.8516	0.7543	1
11441	11549	-42.047	0.000	0.7602	0.6467	1
11441	11551	-42.052	0.000	0.7459	0.6312	1
11441	11553	-90.048	0.000	0.7510	0.5042	1
11441	11673	0.000	0.000	0.9731	0.9241	1
11441	11674	-54.049	0.000	0.7630	0.5933	1
11441	11683	-0.001	0.000	0.9850	0.9647	1
11441	11780	-28.031	0.000	0.8437	0.7844	1
11441	11811	-38.016	0.000	0.8149	0.6293	1
11441	11892	-28.031	0.000	0.8464	0.7742	1
11441	11896	2.016	0.000	0.8380	0.7698	1
11441	11897	-26.015	0.000	0.8898	0.7851	1
11441	11898	-54.047	0.000	0.7719	0.6181	1
11441	11929	-40.031	0.000	0.8735	0.7406	1
11441	12054	-28.033	0.000	0.8368	0.7531	1
11441	12106	-40.031	0.000	0.8541	0.7640	1
11441	12151	-54.047	0.000	0.7848	0.6378	1
11441	12271	-12.004	0.000	0.8730	0.7831	1
11441	12272	-28.035	0.000	0.8439	0.7421	1
11441	12524	-90.047	0.000	0.7126	0.5217	1
11441	12638	-40.033	0.000	0.8639	0.7188	1
11441	12688	-54.047	0.000	0.7778	0.6225	1
11441	12773	-90.047	0.000	0.7792	0.5339	1
11441	13047	-28.032	0.000	0.8435	0.7640	1
11441	13126	-40.031	0.000	0.8908	0.7934	1
11441	13175	-90.047	0.000	0.7589	0.5246	1
11441	13255	-28.031	0.000	0.8300	0.7672	1
11441	13403	-40.031	0.000	0.8047	0.7715	1
11441	13573	-54.047	0.000	0.7614	0.6007	1
11441	13583	-40.031	0.000	0.8279	0.8070	1
11441	13730	-38.015	0.000	0.8334	0.6340	1
11441	13744	-28.032	0.000	0.8009	0.7139	1
11441	13759	-36.000	0.000	0.7007	0.5384	1
11441	13816	-40.031	0.000	0.8399	0.7700	1
11441	13869	-38.015	0.000	0.8111	0.6147	1
11441	13895	-28.036	0.000	0.8107	0.7302	1
11441	14146	-23.999	0.000	0.8688	0.7902	1
11441	14166	-38.015	0.000	0.7773	0.5797	1
11441	14210	-36.000	0.000	0.7162	0.5730	1
11441	14282	-27.995	0.000	0.7357	0.6915	1
11443	11444	-26.016	0.000	0.7408	0.7102	1
11443	11454	84.023	0.000	0.7567	0.6003	1
11443	11472	-26.013	0.000	0.7561	0.7244	1
11443	11477	84.022	0.000	0.7556	0.6003	1
11443	11478	-82.077	0.000	0.7702	0.6946	1
11443	11481	84.017	0.000	0.7530	0.6003	1
11443	11487	84.019	0.000	0.7563	0.6003	1
11443	11547	-68.098	0.000	0.7667	0.7292	1
11443	11588	-50.087	0.000	0.7202	0.6951	1
11443	11623	86.039	0.000	0.7249	0.6215	1
11443	11630	30.048	0.000	0.7211	0.6854	1
11443	11675	84.021	0.000	0.7039	0.6003	1
11443	11701	-68.100	0.000	0.7394	0.6694	1
11443	11737	-82.079	0.000	0.7134	0.6877	1
