CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
4162	4201	-2.016	0.000	0.7284	0.6968	1
4162	4932	-2.016	0.000	0.7014	0.6822	1
4162	5145	15.995	0.000	0.7859	0.6985	1
4162	5289	1.979	0.000	0.7272	0.5940	1
4162	5368	15.995	0.000	0.7668	0.7008	1
4162	5488	15.995	0.000	0.7184	0.5883	1
4163	4206	-14.016	0.000	0.7568	0.5524	1
4164	4419	0.000	0.000	0.9152	0.7828	1
4164	4709	0.000	0.000	0.8941	0.6991	1
4164	5821	-0.000	0.000	0.8831	0.6755	1
4165	4308	0.000	0.000	0.8190	0.6400	1
4165	4875	14.016	0.000	0.7321	0.5707	1
4166	4317	146.057	0.000	0.8847	0.5751	1
4166	4740	292.116	0.000	0.8094	0.4521	1
4167	4225	-30.010	0.000	0.9302	0.6904	1
4167	4485	132.042	0.000	0.8670	0.6131	1
4167	4812	132.043	0.000	0.9038	0.6454	1
4168	4184	28.031	0.000	0.7728	0.4639	1
4168	4313	0.000	0.000	0.7137	0.4230	1
4168	4399	-0.000	0.000	0.7598	0.4715	1
4168	4401	28.031	0.000	0.7756	0.4977	1
4170	4225	-8.028	0.000	0.7250	0.5283	1
4171	4203	-13.980	0.000	0.7608	0.5901	1
4171	4216	2.015	0.000	0.7704	0.6604	1
4171	4459	-2.016	0.000	0.7236	0.5933	1
4171	4497	0.000	0.000	0.7753	0.6978	1
4171	4529	2.015	0.000	0.7902	0.6259	1
4171	4593	4.031	0.000	0.7128	0.5215	1
4171	4640	2.015	0.000	0.7511	0.6009	1
4171	4725	2.015	0.000	0.7543	0.6091	1
4171	4739	-2.016	0.000	0.7092	0.6361	1
4171	5244	2.016	0.000	0.7000	0.4889	1
4171	5601	13.980	0.000	0.7768	0.5944	1
4171	5723	15.995	0.000	0.7587	0.5456	1
4172	4218	13.979	0.000	0.9128	0.7504	1
4172	4260	30.011	0.000	0.8820	0.7852	1
4172	4327	-0.000	0.000	0.9903	0.9454	1
4172	4375	-0.000	0.000	0.9900	0.9422	1
4172	4424	30.011	0.000	0.8893	0.7915	1
4172	4482	-0.000	0.000	0.9925	0.9596	1
4172	4718	30.010	0.000	0.8925	0.8209	1
4172	4906	30.011	0.000	0.8825	0.8209	1
4172	4971	-102.083	0.000	0.8268	0.6014	1
4172	6675	-140.157	0.000	0.7004	0.4553	1
4172	9175	30.011	0.000	0.8876	0.8209	1
4172	9183	-10.057	0.000	0.8277	0.5851	1
4172	9371	-16.035	0.000	0.7027	0.4482	1
4172	9858	30.010	0.000	0.8864	0.7915	1
4172	9860	30.011	0.000	0.8814	0.7915	1
4172	10306	30.009	0.000	0.8841	0.7852	1
4173	5347	-180.077	0.000	0.7055	0.7095	1
4173	5688	17.975	0.000	0.7113	0.6449	1
