"sample_id,""qfield_project"",""taxon_name"",""collector_fullname"",""observation_subject"",""name_proposition"",""date_created"""
"dbgi_007813,""jbuf"",""Abies pinsapo Boiss."",""Simon R̩rat"",""Leaf"",,""2025-04-14T16:02:34.390Z"""
"dbgi_007620,""jbuf"",""Pinus mugo Turra subsp. mugo"",""Simon R̩rat"",""Flower"",,""2025-04-14T16:02:34.735Z"""
"dbgi_007729,""jbuf"",""Taxus baccata L. femelle"",""Simon R̩rat"",""bud"",,""2025-04-14T16:02:34.319Z"""
"dbgi_007719,""jbuf"",""Malus spectabilis (Aiton) Borkh."",""Simon R̩rat"",""bud"",,""2025-04-14T16:02:34.829Z"""
"dbgi_007640,""jbuf"",""Pinus mugo Turra subsp. mugo"",""Simon R̩rat"",""bud"",,""2025-04-14T16:02:34.760Z"""
"dbgi_007630,""jbuf"",""Picea omorika (Pancic) Purk."",""Simon R̩rat"",""Leaf"",,""2025-04-14T16:02:34.473Z"""
"dbgi_007763,""jbuf"",""Juniperus communis L. subsp. communis"",""Simon R̩rat"",""bud"",,""2025-04-14T16:02:35.307Z"""
"dbgi_007685,""jbuf"",""Pinus mugo var. pumilio (Haenke) Zenari"",""Simon R̩rat"",""bud"",,""2025-04-14T16:02:34.634Z"""
"dbgi_007677,""jbuf"",""Thuja occidentalis L."",""Simon R̩rat"",""Leaf"",,""2025-04-14T16:02:35.370Z"""
"dbgi_007759,""jbuf"",""Picea abies H. Karst. 'Clanbrassiliana'"",""Simon R̩rat"",""bud"",,""2025-04-14T16:02:36.205Z"""
"dbgi_007671,""jbuf"",""Prunus dulcis D.A. Webb"",""Simon R̩rat"",""Flower"",,""2025-04-14T16:02:34.983Z"""
"dbgi_007701,""jbuf"",""Pinus sylvestris L."",""Simon R̩rat"",""bud"",,""2025-04-14T16:02:35.060Z"""
"dbgi_007744,""jbuf"",""Prunus dulcis D.A. Webb"",""Simon R̩rat"",""bud"",,""2025-04-14T16:02:34.958Z"""
"dbgi_007791,""jbuf"",""Metasequoia glyptostroboides Hu et W.C.Cheng"",""Simon R̩rat"",""bud"",,""2025-04-14T16:02:35.949Z"""
"dbgi_007704,""jbuf"",""Prunus armeniaca L. 'Royal'"",""Simon R̩rat"",""bud"",,""2025-04-14T16:02:34.910Z"""
"dbgi_007743,""jbuf"",""Prunus armeniaca L. 'Royal'"",""Simon R̩rat"",""Flower"",,""2025-04-14T16:02:34.932Z"""
"dbgi_007709,""jbuf"",,""Simon R̩rat"",""bud"",""Liquidambar orientalis"",""2025-04-30T13:34:39.959Z"""
"dbgi_007700,""jbuf"",""Prunus spinosa L."",""Simon R̩rat"",""bud"",,""2025-04-14T16:02:35.440Z"""
"dbgi_007784,""jbuf"",""Cryptomeria japonica (L.f.) D.Don"",""Simon R̩rat"",""bark"",,""2025-04-14T16:02:35.850Z"""
"dbgi_007789,""jbuf"",""Picea abies H. Karst. 'Clanbrassiliana'"",""Simon R̩rat"",""Stems"",,""2025-04-14T16:02:36.265Z"""
"dbgi_007560,""jbuf"",""Sequoiadendron giganteum (Lindl.) J. Buchholz"",""Simon R̩rat"",""Leaf"",,""2025-04-14T16:02:35.876Z"""
"dbgi_007774,""jbuf"",""Picea abies H. Karst. 'Inversa'"",""Simon R̩rat"",""bark"",,""2025-04-14T16:02:36.370Z"""
"dbgi_007646,""jbuf"",""Cornus mas L."",""Simon R̩rat"",""Flower"",,""2025-04-14T16:02:34.549Z"""
"dbgi_007731,""jbuf"",""Prunus persica (L.) Batsch var. persica 'Amsden'"",""Simon R̩rat"",""Flower"",,""2025-04-14T16:02:35.008Z"""
"dbgi_007808,""jbuf"",""Pinus mugo Turra subsp. mugo"",""Simon R̩rat"",""Flower"",,""2025-04-14T16:02:35.143Z"""
